Astroblast - SuperChargers Legendary,4.99,4.99,36190,https://www.pricecharting.com/game/skylanders/astroblast-superchargers-legendary,0 
Bad Juju - Imaginators,3.99,24.99,55861,https://www.pricecharting.com/game/skylanders/bad-juju-imaginators,0 
Barkley - Sidekicks,3.99,11.99,34095,https://www.pricecharting.com/game/skylanders/barkley-sidekicks,0 
Barkley - Trap Team,7.99,12.99,35960,https://www.pricecharting.com/game/skylanders/barkley-trap-team,0 
Barkley - Trap Team Gnarly,4.99,4.99,36353,https://www.pricecharting.com/game/skylanders/barkley-trap-team-gnarly,0 
Barrel Blaster - SuperChargers,8.99,8.99,36042,https://www.pricecharting.com/game/skylanders/barrel-blaster-superchargers,0 
Barrel Blaster - SuperChargers Dark,1.99,2.99,36050,https://www.pricecharting.com/game/skylanders/barrel-blaster-superchargers-dark,0 
Bash,5.99,11.99,33656,https://www.pricecharting.com/game/skylanders/bash,0 
Bash - Blue,10.99,11.99,33658,https://www.pricecharting.com/game/skylanders/bash-blue,0 
Bash - Giants Series 2,2.99,19.99,33657,https://www.pricecharting.com/game/skylanders/bash-giants-series-2,0 
Bash - Legendary,2.99,16.99,33659,https://www.pricecharting.com/game/skylanders/bash-legendary,0 
Bat Spin - Trap Team,6.99,11.99,35512,https://www.pricecharting.com/game/skylanders/bat-spin-trap-team,0 
Battle Hammer,1.99,2.99,54404,https://www.pricecharting.com/game/skylanders/battle-hammer,0 
Blackout - Trap Team,24.99,24.99,35513,https://www.pricecharting.com/game/skylanders/blackout-trap-team,0 
Blades - Trap Team,3.99,10.99,35514,https://www.pricecharting.com/game/skylanders/blades-trap-team,0 
Blades - Trap Team Legendary,2.99,12.99,35533,https://www.pricecharting.com/game/skylanders/blades-trap-team-legendary,0 
Blast Zone - Swap Force,1.99,2.99,34331,https://www.pricecharting.com/game/skylanders/blast-zone-swap-force,1 
Blast Zone - Swap Force Dark,1.99,5.99,34332,https://www.pricecharting.com/game/skylanders/blast-zone-swap-force-dark,0 
Blaster Tron - Imaginators,19.99,19.99,55855,https://www.pricecharting.com/game/skylanders/blaster-tron-imaginators,0 
Blastermind - Trap Team,4.99,3.99,35481,https://www.pricecharting.com/game/skylanders/blastermind-trap-team,0 
Boom Jet - Swap Force,3.99,6.99,34333,https://www.pricecharting.com/game/skylanders/boom-jet-swap-force,0 
Boomer,4.99,13.99,33660,https://www.pricecharting.com/game/skylanders/boomer,0 
Boomer - Silver,79.99,164.99,33785,https://www.pricecharting.com/game/skylanders/boomer-silver,0 
Bop - Trap Team,2.99,11.99,35482,https://www.pricecharting.com/game/skylanders/bop-trap-team,0 
Bouncer - Giants Legendary,2.99,7.99,33761,https://www.pricecharting.com/game/skylanders/bouncer-giants-legendary,0 
Bouncer - Giants Series 2,2.99,2.99,33760,https://www.pricecharting.com/game/skylanders/bouncer-giants-series-2,0 
Bowser - SuperChargers,9.99,14.99,36043,https://www.pricecharting.com/game/skylanders/bowser-superchargers,0 
Bumble Blast - Swap Force,3.99,7.99,34334,https://www.pricecharting.com/game/skylanders/bumble-blast-swap-force,0 
Bumble Blast - Swap Force Jolly,1.99,1.99,34336,https://www.pricecharting.com/game/skylanders/bumble-blast-swap-force-jolly,0 
Bumble Blast - Swap Force Lightcore,3.99,4.99,34335,https://www.pricecharting.com/game/skylanders/bumble-blast-swap-force-lightcore,0 
Burn Cycle - SuperChargers,1.99,7.99,36184,https://www.pricecharting.com/game/skylanders/burn-cycle-superchargers,0 
Bushwack - Trap Team,2.99,3.99,35483,https://www.pricecharting.com/game/skylanders/bushwack-trap-team,0 
Bushwhack - Trap Team Legendary,.99,5.99,35895,https://www.pricecharting.com/game/skylanders/bushwhack-trap-team-legendary,0 
Camo - Spyro's Adventure,2.99,10.99,33661,https://www.pricecharting.com/game/skylanders/camo-spyro%27s-adventure,0 
Chill - Blizzard,2.99,2.99,34337,https://www.pricecharting.com/game/skylanders/chill-blizzard,0 
Chill - Giants,3.99,3.99,33662,https://www.pricecharting.com/game/skylanders/chill-giants,0 
Chill - Giants Legendary Lightcore,2.99,8.99,33847,https://www.pricecharting.com/game/skylanders/chill-giants-legendary-lightcore,0 
Chill - Giants Lightcore,7.99,19.99,33663,https://www.pricecharting.com/game/skylanders/chill-giants-lightcore,0 
Chop Chop,3.99,5.99,33664,https://www.pricecharting.com/game/skylanders/chop-chop,0 
Chop Chop - Eon's Elite,9.99,10.99,35910,https://www.pricecharting.com/game/skylanders/chop-chop-eon%27s-elite,0 
Chop Chop - Giants Series 2,.99,2.99,33666,https://www.pricecharting.com/game/skylanders/chop-chop-giants-series-2,0 
Chop Chop - Giants Toy Fair 2013,34.99,119.99,33831,https://www.pricecharting.com/game/skylanders/chop-chop-giants-toy-fair-2013,0 
Chop Chop - Gold,59.99,94.99,33784,https://www.pricecharting.com/game/skylanders/chop-chop-gold,0 
Chop Chop - Legendary,2.99,24.99,33665,https://www.pricecharting.com/game/skylanders/chop-chop-legendary,0 
Chop Chop - Swap Force Twin Blade,.99,4.99,34338,https://www.pricecharting.com/game/skylanders/chop-chop-swap-force-twin-blade,0 
Chop Chop - Swap Force Twin Blade Green,34.99,49.99,34628,https://www.pricecharting.com/game/skylanders/chop-chop-swap-force-twin-blade-green,0 
Chopper - Trap Team,1.99,4.99,35515,https://www.pricecharting.com/game/skylanders/chopper-trap-team,0 
Clown Cruiser - SuperChargers,3.99,10.99,36044,https://www.pricecharting.com/game/skylanders/clown-cruiser-superchargers,0 
Cobra Cadabra - Trap Team,7.99,9.99,35516,https://www.pricecharting.com/game/skylanders/cobra-cadabra-trap-team,0 
Countdown - Swap Force,1.99,1.99,34339,https://www.pricecharting.com/game/skylanders/countdown-swap-force,0 
Countdown - Swap Force Kickoff,1.99,1.99,34341,https://www.pricecharting.com/game/skylanders/countdown-swap-force-kickoff,0 
Countdown - Swap Force Lightcore,1.99,3.99,34340,https://www.pricecharting.com/game/skylanders/countdown-swap-force-lightcore,0 
Crusher - Giants,3.99,8.99,33762,https://www.pricecharting.com/game/skylanders/crusher-giants,0 
Crusher - Giants Granite,4.99,19.99,33763,https://www.pricecharting.com/game/skylanders/crusher-giants-granite,0 
Crypt Crusher - SuperChargers,1.99,1.99,36055,https://www.pricecharting.com/game/skylanders/crypt-crusher-superchargers,0 
Cynder,3.99,9.99,33667,https://www.pricecharting.com/game/skylanders/cynder,0 
Cynder - Clear,74.99,139.99,33781,https://www.pricecharting.com/game/skylanders/cynder-clear,0 
Cynder - Giants Glow in the Dark,.99,2.99,33669,https://www.pricecharting.com/game/skylanders/cynder-giants-glow-in-the-dark,0 
Cynder - Giants Series 2,1.99,4.99,33668,https://www.pricecharting.com/game/skylanders/cynder-giants-series-2,1 
Cynder - Swap Force Phantom,.99,3.99,34342,https://www.pricecharting.com/game/skylanders/cynder-swap-force-phantom,0 
Cynder - Toy Fair 2012,74.99,119.99,33756,https://www.pricecharting.com/game/skylanders/cynder-toy-fair-2012,0 
Deja Vu - Trap Team,2.99,12.99,35538,https://www.pricecharting.com/game/skylanders/deja-vu-trap-team,0 
Deja Vu - Trap Team Legendary,2.99,3.99,35517,https://www.pricecharting.com/game/skylanders/deja-vu-trap-team-legendary,0 
Dino-Rang,2.99,8.99,33670,https://www.pricecharting.com/game/skylanders/dino-rang,0 
Dino-Rang - Eon's Elite,10.99,54.99,45099,https://www.pricecharting.com/game/skylanders/dino-rang-eon's-elite,0 
Dino-Rang - Silver,109.99,144.99,33787,https://www.pricecharting.com/game/skylanders/dino-rang-silver,0 
Dive Bomber - SuperChargers,1.99,2.99,36056,https://www.pricecharting.com/game/skylanders/dive-bomber-superchargers,0 
Dive Clops - SuperChargers,1.99,4.99,36051,https://www.pricecharting.com/game/skylanders/dive-clops-superchargers,0 
Dive Clops - SuperChargers Missile Tow,.99,1.99,36346,https://www.pricecharting.com/game/skylanders/dive-clops-superchargers-missile-tow,0 
Donkey Kong - SuperChargers,5.99,8.99,36041,https://www.pricecharting.com/game/skylanders/donkey-kong-superchargers,0 
Donkey Kong - SuperChargers Dark,19.99,39.99,36049,https://www.pricecharting.com/game/skylanders/donkey-kong-superchargers-dark,0 
Doom Stone - Swap Force,10.99,24.99,34343,https://www.pricecharting.com/game/skylanders/doom-stone-swap-force,0 
Double Trouble,2.99,3.99,33671,https://www.pricecharting.com/game/skylanders/double-trouble,0 
Double Trouble - Giants Battlegrounds Royal,11.99,14.99,33806,https://www.pricecharting.com/game/skylanders/double-trouble-giants-battlegrounds-royal,0 
Double Trouble - Giants Series 2,1.99,3.99,33672,https://www.pricecharting.com/game/skylanders/double-trouble-giants-series-2,0 
Drill Sergeant,2.99,7.99,33673,https://www.pricecharting.com/game/skylanders/drill-sergeant,0 
Drill Sergeant - Giants Series 2,.99,7.99,33674,https://www.pricecharting.com/game/skylanders/drill-sergeant-giants-series-2,0 
Drill Sergeant - Gold,54.99,109.99,33783,https://www.pricecharting.com/game/skylanders/drill-sergeant-gold,0 
Drill Sergeant - Red,4.99,7.99,33675,https://www.pricecharting.com/game/skylanders/drill-sergeant-red,0 
Drobit - Trap Team,2.99,4.99,35484,https://www.pricecharting.com/game/skylanders/drobit-trap-team,0 
Drobot,3.99,7.99,33676,https://www.pricecharting.com/game/skylanders/drobot,0 
Drobot - Giants Lightcore,.99,5.99,33677,https://www.pricecharting.com/game/skylanders/drobot-giants-lightcore,0 
Drobot - Giants Series 2,3.99,7.99,33678,https://www.pricecharting.com/game/skylanders/drobot-giants-series-2,0 
Dune Bug - Swap Force,.99,2.99,34344,https://www.pricecharting.com/game/skylanders/dune-bug-swap-force,0 
Dune Bug - Swap Force Red,59.99,89.99,34722,https://www.pricecharting.com/game/skylanders/dune-bug-swap-force-red,0 
Echo - Trap Team,15.99,16.99,35898,https://www.pricecharting.com/game/skylanders/echo-trap-team,0 
Enchanted Elven Forest Adventure Pack - Imaginators,29.99,49.99,55865,https://www.pricecharting.com/game/skylanders/enchanted-elven-forest-adventure-pack-imaginators,0 
Enigma - Trap Team,8.99,9.99,35509,https://www.pricecharting.com/game/skylanders/enigma-trap-team,0 
Eruptor,4.99,10.99,33679,https://www.pricecharting.com/game/skylanders/eruptor,0 
Eruptor - Eon's Elite,9.99,15.99,35905,https://www.pricecharting.com/game/skylanders/eruptor-eon's-elite,0 
Eruptor - Giants Lightcore,1.99,6.99,33680,https://www.pricecharting.com/game/skylanders/eruptor-giants-lightcore,0 
Eruptor - Giants Series 2,.99,7.99,33681,https://www.pricecharting.com/game/skylanders/eruptor-giants-series-2,0 
Eruptor - Giants White Flocked Series 2,44.99,59.99,33804,https://www.pricecharting.com/game/skylanders/eruptor-giants-white-flocked-series-2,0 
Eruptor - Silver,79.99,199.99,33786,https://www.pricecharting.com/game/skylanders/eruptor-silver,0 
Eruptor - SuperChargers Lava Lance,.99,4.99,36342,https://www.pricecharting.com/game/skylanders/eruptor-superchargers-lava-lance,0 
Eruptor - Swap Force Lava Barf,.99,6.99,34345,https://www.pricecharting.com/game/skylanders/eruptor-swap-force-lava-barf,0 
Eruptor - Swap Force Lava Barf Volcanic,.99,2.99,34346,https://www.pricecharting.com/game/skylanders/eruptor-swap-force-lava-barf-volcanic,0 
Eye Brawl - Giants,3.99,6.99,33764,https://www.pricecharting.com/game/skylanders/eye-brawl-giants,0 
Eye Brawl - Giants Pumpkin,6.99,11.99,34138,https://www.pricecharting.com/game/skylanders/eye-brawl-giants-pumpkin,0 
Eye Brawl - Giants Purple Metallic,15.99,94.99,34254,https://www.pricecharting.com/game/skylanders/eye-brawl-giants-purple-metallic,0 
Eye Small - Sidekicks,2.99,7.99,34094,https://www.pricecharting.com/game/skylanders/eye-small-sidekicks,0 
Eye Small - Trap Team,3.99,7.99,35493,https://www.pricecharting.com/game/skylanders/eye-small-trap-team,0 
Fiesta - SuperChargers,4.99,5.99,36052,https://www.pricecharting.com/game/skylanders/fiesta-superchargers,0 
