After Burner,49.99,99.99,204.99,010086845075,13087,https://www.pricecharting.com/game/sega-32x/after-burner 
BC Racers,34.99,79.99,184.99,743175792010,16291,https://www.pricecharting.com/game/sega-32x/bc-racers 
Blackthorne,174.99,319.99,644.99,010086845198,15032,https://www.pricecharting.com/game/sega-32x/blackthorne 
Brutal: Above the Claw,59.99,114.99,234.99,043948003191,34067,https://www.pricecharting.com/game/sega-32x/brutal-above-the-claw 
Corpse Killer,34.99,39.99,79.99,782346023614,17612,https://www.pricecharting.com/game/sega-32x/corpse-killer 
Cosmic Carnage,13.99,29.99,79.99,010086847000,13734,https://www.pricecharting.com/game/sega-32x/cosmic-carnage 
DarXide,1574.99,3469.99,6944.99,,71626,https://www.pricecharting.com/game/sega-32x/darxide 
Doom,12.99,24.99,209.99,010086845068,13089,https://www.pricecharting.com/game/sega-32x/doom 
Fahrenheit,29.99,44.99,89.99,649525000005,34068,https://www.pricecharting.com/game/sega-32x/fahrenheit 
Golf Magazine Presents 36 Great Holes Starring Fred Couples,ND,ND,ND,,,https://www.pricecharting.com/game/sega-32x/golf-magazine-presents-36-great-holes-starring-fred-couples 
Knuckles Chaotix,104.99,189.99,369.99,010086845037,16290,https://www.pricecharting.com/game/sega-32x/knuckles-chaotix 
Kolibri,114.99,219.99,419.99,010086845181,16413,https://www.pricecharting.com/game/sega-32x/kolibri 
Metal Head Sega,14.99,24.99,64.99,010086845112,14170,https://www.pricecharting.com/game/sega-32x/metal-head-sega 
Mortal Kombat II,34.99,79.99,199.99,021481810056,13091,https://www.pricecharting.com/game/sega-32x/mortal-kombat-ii 
Motocross Championship,10.99,19.99,129.99,010086846003,14832,https://www.pricecharting.com/game/sega-32x/motocross-championship 
NBA Jam Tournament Edition,44.99,54.99,124.99,021481810124,18486,https://www.pricecharting.com/game/sega-32x/nba-jam-tournament-edition 
NFL Quarterback Club,13.99,19.99,64.99,021481810100,34070,https://www.pricecharting.com/game/sega-32x/nfl-quarterback-club 
Night Trap,64.99,109.99,214.99,782346001612,18612,https://www.pricecharting.com/game/sega-32x/night-trap 
Pitfall Mayan Adventure,124.99,369.99,739.99,047875510166,34071,https://www.pricecharting.com/game/sega-32x/pitfall-mayan-adventure 
Primal Rage,49.99,119.99,244.99,010086847055,13090,https://www.pricecharting.com/game/sega-32x/primal-rage 
RBI Baseball 95,49.99,94.99,164.99,031763099512,34072,https://www.pricecharting.com/game/sega-32x/rbi-baseball-95 
Sega 32X Unit,149.99,209.99,379.99,010086840018,11961,https://www.pricecharting.com/game/sega-32x/sega-32x-unit 
Shadow Squadron,24.99,44.99,89.99,010086845099,18484,https://www.pricecharting.com/game/sega-32x/shadow-squadron 
Slam City,54.99,59.99,104.99,782346072612,31009,https://www.pricecharting.com/game/sega-32x/slam-city 
Space Harrier,49.99,99.99,164.99,010086845051,16292,https://www.pricecharting.com/game/sega-32x/space-harrier 
Spiderman Web of Fire,689.99,1479.99,2964.99,010086845174,13693,https://www.pricecharting.com/game/sega-32x/spiderman-web-of-fire 
Star Trek: Starfleet Academy,44.99,89.99,194.99,845211010086,19832,https://www.pricecharting.com/game/sega-32x/star-trek-starfleet-academy 
Star Wars Arcade,12.99,19.99,89.99,010086845082,13088,https://www.pricecharting.com/game/sega-32x/star-wars-arcade 
Supreme Warrior,49.99,59.99,99.99,782346024611,18587,https://www.pricecharting.com/game/sega-32x/supreme-warrior 
Tempo,94.99,164.99,234.99,010086845044,18640,https://www.pricecharting.com/game/sega-32x/tempo 
T-Mek,99.99,259.99,519.99,010086845204,18485,https://www.pricecharting.com/game/sega-32x/t-mek 
Toughman Contest,29.99,59.99,119.99,014633074673,34074,https://www.pricecharting.com/game/sega-32x/toughman-contest 
Virtua Fighter,19.99,44.99,199.99,010086847017,13725,https://www.pricecharting.com/game/sega-32x/virtua-fighter 
Virtua Racing Deluxe Sega,13.99,19.99,79.99,010086846010,13735,https://www.pricecharting.com/game/sega-32x/virtua-racing-deluxe-sega 
World Series Baseball,194.99,449.99,889.99,010086846058,31932,https://www.pricecharting.com/game/sega-32x/world-series-baseball 
WWF Raw,39.99,84.99,104.99,021481810063,34075,https://www.pricecharting.com/game/sega-32x/wwf-raw 
WWF Wrestlemania: Arcade Game,84.99,159.99,389.99,021481810391,34076,https://www.pricecharting.com/game/sega-32x/wwf-wrestlemania-arcade-game 
Zaxxon Motherbase 2000,44.99,114.99,229.99,010086845129,18492,https://www.pricecharting.com/game/sega-32x/zaxxon-motherbase-2000 
