50 Classic Games,15.99,34.99,39.99,814290011840,32693,https://www.pricecharting.com/game/nintendo-3ds/50-classic-games 
7th Dragon III Code VFD,39.99,49.99,64.99,010086611212,36722,https://www.pricecharting.com/game/nintendo-3ds/7th-dragon-iii-code-vfd 
7th Dragon III Code VFD Launch Edition,54.99,64.99,94.99,,37776,https://www.pricecharting.com/game/nintendo-3ds/7th-dragon-iii-code-vfd-launch-edition 
Ace Combat Assault Horizon,ND,ND,ND,,,https://www.pricecharting.com/game/nintendo-3ds/ace-combat-assault-horizon 
Ace Combat: Assault Horizon Legacy+,ND,ND,ND,,,https://www.pricecharting.com/game/nintendo-3ds/ace-combat-assault-horizon-legacy+ 
Adventure Time: Explore the Dungeon Because I Don't Know,4.99,4.99,8.99,879278006126,34583,https://www.pricecharting.com/game/nintendo-3ds/adventure-time-explore-the-dungeon-because-i-don%27t-know 
Adventure Time: Explore the Dungeon Because I Don't Know Collector's Edition,15.99,19.99,39.99,879278006225,34584,https://www.pricecharting.com/game/nintendo-3ds/adventure-time-explore-the-dungeon-because-i-don%27t-know-collector%27s-edition 
Adventure Time: Finn and Jake Investigations,4.99,5.99,8.99,815403010675,36134,https://www.pricecharting.com/game/nintendo-3ds/adventure-time-finn-and-jake-investigations 
Adventure Time: Hey Ice King,7.99,10.99,14.99,879278360082879278006089,33368,https://www.pricecharting.com/game/nintendo-3ds/adventure-time-hey-ice-king 
Adventure Time: Hey Ice King Collector's Edition,24.99,29.99,54.99,879278369085,33919,https://www.pricecharting.com/game/nintendo-3ds/adventure-time-hey-ice-king-collector%27s-edition 
Adventure Time: The Secret of the Nameless Kingdom,9.99,10.99,15.99,815403010507,35328,https://www.pricecharting.com/game/nintendo-3ds/adventure-time-the-secret-of-the-nameless-kingdom 
Adventures of Tintin: The Game,5.99,6.99,8.99,008888166641,32374,https://www.pricecharting.com/game/nintendo-3ds/adventures-of-tintin-the-game 
Alien Chaos,64.99,164.99,454.99,857398003010,40258,https://www.pricecharting.com/game/nintendo-3ds/alien-chaos 
Alliance Alive,29.99,39.99,49.99,730865300280,45706,https://www.pricecharting.com/game/nintendo-3ds/alliance-alive 
Amazing Spiderman,7.99,10.99,24.99,047875843530,32877,https://www.pricecharting.com/game/nintendo-3ds/amazing-spiderman 
Amazing Spiderman 2,10.99,10.99,24.99,047875849440,34839,https://www.pricecharting.com/game/nintendo-3ds/amazing-spiderman-2 
American Mensa Academy,10.99,19.99,34.99,814290012304,33424,https://www.pricecharting.com/game/nintendo-3ds/american-mensa-academy 
Angry Birds Star Wars,3.99,4.99,8.99,047875767904,34466,https://www.pricecharting.com/game/nintendo-3ds/angry-birds-star-wars 
Angry Birds Trilogy,5.99,7.99,19.99,047875767294,33110,https://www.pricecharting.com/game/nintendo-3ds/angry-birds-trilogy 
