1001 Touch Games,4.99,4.99,9.99,814290011390,32831,https://www.pricecharting.com/game/nintendo-ds/1001-touch-games 
100 All-Time Favorites,4.99,5.99,7.99,008888165675,19886,https://www.pricecharting.com/game/nintendo-ds/100-all-time-favorites 
100 Classic Books,5.99,8.99,16.99,827307760211045496740962,21612,https://www.pricecharting.com/game/nintendo-ds/100-classic-books 
101-in-1 Explosive Megamix,3.99,5.99,13.99,730865400300,18726,https://www.pricecharting.com/game/nintendo-ds/101-in-1-explosive-megamix 
101-in-1 Sports Megamix,4.99,4.99,9.99,730865400362,30887,https://www.pricecharting.com/game/nintendo-ds/101-in-1-sports-megamix 
18 Classic Card Games,2.99,4.99,9.99,828068213398,30889,https://www.pricecharting.com/game/nintendo-ds/18-classic-card-games 
1 vs 100,3.99,5.99,9.99,802068101558,13997,https://www.pricecharting.com/game/nintendo-ds/1-vs-100 
50 Classic Games,3.99,3.99,11.99,828068212810,21753,https://www.pricecharting.com/game/nintendo-ds/50-classic-games 
50 More Classic Games,3.99,5.99,12.99,828068213374,31567,https://www.pricecharting.com/game/nintendo-ds/50-more-classic-games 
7 Wonders II,3.99,4.99,6.99,811930106218,21715,https://www.pricecharting.com/game/nintendo-ds/7-wonders-ii 
7 Wonders of the Ancient World,4.99,5.99,12.99,811930103439,3978,https://www.pricecharting.com/game/nintendo-ds/7-wonders-of-the-ancient-world 
8Ball Allstars,4.99,7.99,14.99,,50821,https://www.pricecharting.com/game/nintendo-ds/8ball-allstars 
999: 9 Hours 9 Persons 9 Doors,34.99,49.99,79.99,893610001402,30727,https://www.pricecharting.com/game/nintendo-ds/999-9-hours-9-persons-9-doors 
Ace Attorney Apollo Justice,39.99,54.99,99.99,013388320127,11906,https://www.pricecharting.com/game/nintendo-ds/ace-attorney-apollo-justice 
Ace Attorney Investigations: Miles Edgeworth,49.99,79.99,104.99,013388320189,20433,https://www.pricecharting.com/game/nintendo-ds/ace-attorney-investigations-miles-edgeworth 
A Christmas Carol,3.99,3.99,8.99,712725017149,19938,https://www.pricecharting.com/game/nintendo-ds/a-christmas-carol 
Action Replay DS,39.99,69.99,124.99,897459000671,3979,https://www.pricecharting.com/game/nintendo-ds/action-replay-ds 
Advance Wars Days of Ruin,34.99,39.99,119.99,045496739447045496739454,11902,https://www.pricecharting.com/game/nintendo-ds/advance-wars-days-of-ruin 
Advance Wars Dual Strike,24.99,34.99,134.99,045496735869045496735876,3980,https://www.pricecharting.com/game/nintendo-ds/advance-wars-dual-strike 
Adventure Time: Hey Ice King,7.99,10.99,19.99,879278320376,33369,https://www.pricecharting.com/game/nintendo-ds/adventure-time-hey-ice-king 
Adventure Time: Hey Ice King Collectors Edition,19.99,29.99,54.99,,33920,https://www.pricecharting.com/game/nintendo-ds/adventure-time-hey-ice-king-collector%27s-edition 
Again,8.99,17.99,29.99,018946010601,21143,https://www.pricecharting.com/game/nintendo-ds/again 
Agatha Christie: The ABC Murders,4.99,10.99,16.99,625904747914,19943,https://www.pricecharting.com/game/nintendo-ds/agatha-christie-the-abc-murders 
Age of Empires Mythologies,11.99,17.99,34.99,785138361666,16065,https://www.pricecharting.com/game/nintendo-ds/age-of-empires-mythologies 
Age of Empires The Age of Kings,9.99,11.99,24.99,096427013938,3981,https://www.pricecharting.com/game/nintendo-ds/age-of-empires-the-age-of-kings 
Air Traffic Chaos,7.99,10.99,14.99,096427015420,14115,https://www.pricecharting.com/game/nintendo-ds/air-traffic-chaos 
Alex Rider Stormbreaker,2.99,4.99,8.99,785138361147,11666,https://www.pricecharting.com/game/nintendo-ds/alex-rider-stormbreaker 
Alice in Wonderland: The Movie,4.99,7.99,11.99,712725017163712725017170,21006,https://www.pricecharting.com/game/nintendo-ds/alice-in-wonderland-the-movie 
Aliens: Infestation,59.99,74.99,134.99,010086670219,31837,https://www.pricecharting.com/game/nintendo-ds/aliens-infestation 
Aliens in the Attic,3.99,5.99,12.99,813582010141,21714,https://www.pricecharting.com/game/nintendo-ds/aliens-in-the-attic 
All-Star Cheer Squad,2.99,3.99,7.99,785138361673,15829,https://www.pricecharting.com/game/nintendo-ds/all-star-cheer-squad 
Alpha and Omega,3.99,4.99,10.99,814157010269,22029,https://www.pricecharting.com/game/nintendo-ds/alpha-and-omega 
Alvin And The Chipmunks The Game,1.99,5.99,11.99,890181002043,10842,https://www.pricecharting.com/game/nintendo-ds/alvin-and-the-chipmunks-the-game 
