Dalmatians Puppies to the Rescue,2.99,9.99,19.99,047875800755,2733,https://www.pricecharting.com/game/gameboy-color/102-dalmatians-puppies-to-the-rescue 
10 Pin Bowling,19.99,49.99,84.99,096427011828,2732,https://www.pricecharting.com/game/gameboy-color/10-pin-bowling 
1942,34.99,124.99,199.99,013388240029,2734,https://www.pricecharting.com/game/gameboy-color/1942 
A Bug's Life,2.99,9.99,24.99,785138320304,2735,https://www.pricecharting.com/game/gameboy-color/a-bug's-life 
Action Man,6.99,19.99,29.99,785138320618,13262,https://www.pricecharting.com/game/gameboy-color/action-man 
AirForce Delta,8.99,34.99,54.99,083717140924,13265,https://www.pricecharting.com/game/gameboy-color/airforce-delta 
Aladdin,10.99,34.99,54.99,008888120162,2736,https://www.pricecharting.com/game/gameboy-color/aladdin 
Alice in Wonderland,14.99,24.99,79.99,045496730994,2738,https://www.pricecharting.com/game/gameboy-color/alice-in-wonderland 
Aliens Thanatos Encounter,29.99,54.99,69.99,785138320519,2739,https://www.pricecharting.com/game/gameboy-color/aliens-thanatos-encounter 
All-Star Baseball 2000,2.99,10.99,19.99,021481511755,2741,https://www.pricecharting.com/game/gameboy-color/all-star-baseball-2000 
All-Star Baseball 2001,2.99,6.99,19.99,021481512028,2742,https://www.pricecharting.com/game/gameboy-color/all-star-baseball-2001 
Alone In The Dark The New Nightmare,24.99,34.99,59.99,020295020460,8503,https://www.pricecharting.com/game/gameboy-color/alone-in-the-dark-the-new-nightmare 
Animorphs,7.99,19.99,34.99,008888120117,2744,https://www.pricecharting.com/game/gameboy-color/animorphs 
Antz,1.99,9.99,12.99,020295020262,8513,https://www.pricecharting.com/game/gameboy-color/antz 
Antz Racing,2.99,13.99,24.99,021481512844,2745,https://www.pricecharting.com/game/gameboy-color/antz-racing 
Arcade Hits Moon Patrol and Spy Hunter,11.99,12.99,19.99,031719198146,2748,https://www.pricecharting.com/game/gameboy-color/arcade-hits-moon-patrol-and-spy-hunter 
Armada FX Racers,3.99,15.99,24.99,650001111153,2749,https://www.pricecharting.com/game/gameboy-color/armada-fx-racers 
Armorines Project SWARM,2.99,10.99,17.99,021481511885,13270,https://www.pricecharting.com/game/gameboy-color/armorines-project-swarm 
Army Men,4.99,14.99,24.99,790561505822,2750,https://www.pricecharting.com/game/gameboy-color/army-men 
Army Men 2,2.99,12.99,19.99,790561509318,2751,https://www.pricecharting.com/game/gameboy-color/army-men-2 
Army Men Air Combat,3.99,8.99,29.99,790561508717,13271,https://www.pricecharting.com/game/gameboy-color/army-men-air-combat 
Army Men Sarge's Heroes 2,4.99,9.99,29.99,790561509110,13272,https://www.pricecharting.com/game/gameboy-color/army-men-sarge's-heroes-2 
Arthur's Absolutely Fun Day,3.99,18.99,29.99,772040803216,13196,https://www.pricecharting.com/game/gameboy-color/arthur's-absolutely-fun-day 
Asteroids,3.99,9.99,18.99,047875107526,2752,https://www.pricecharting.com/game/gameboy-color/asteroids 
Atlantis the Lost Empire,3.99,12.99,24.99,785138320687,13339,https://www.pricecharting.com/game/gameboy-color/atlantis-the-lost-empire 
Austin Powers Oh Behave,6.99,19.99,24.99,710425250484,13274,https://www.pricecharting.com/game/gameboy-color/austin-powers-oh-behave 
Austin Powers Welcome to my Underground Lair,3.99,18.99,19.99,710425250491,2753,https://www.pricecharting.com/game/gameboy-color/austin-powers-welcome-to-my-underground-lair 
Babe and Friends,1.99,7.99,13.99,650008699098,13275,https://www.pricecharting.com/game/gameboy-color/babe-and-friends 
Ballistic,2.99,4.99,19.99,020295020347,2756,https://www.pricecharting.com/game/gameboy-color/ballistic 
Barbie Fashion Pack,1.99,4.99,10.99,074299263385,13282,https://www.pricecharting.com/game/gameboy-color/barbie-fashion-pack 
Barbie Magic Genie Adventure,3.99,11.99,19.99,774299408488074299408489,2757,https://www.pricecharting.com/game/gameboy-color/barbie-magic-genie-adventure 
Barbie Ocean Discovery,2.99,8.99,14.99,074299229916,2758,https://www.pricecharting.com/game/gameboy-color/barbie-ocean-discovery 
Barbie Pet Rescue,2.99,9.99,18.99,074299263422,11968,https://www.pricecharting.com/game/gameboy-color/barbie-pet-rescue 
Bassmasters Classic,2.99,8.99,14.99,785138320403,13287,https://www.pricecharting.com/game/gameboy-color/bassmasters-classic 
Batman: Return of the Joker,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-color/batman-return-of-the-joker 
Batman Total Chaos in Gotham City,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-color/batman-total-chaos-in-gotham-city 
Battleship,2.99,10.99,18.99,096427011736,2762,https://www.pricecharting.com/game/gameboy-color/battleship 
Battletanx,3.99,11.99,19.99,790561505624,2763,https://www.pricecharting.com/game/gameboy-color/battletanx 
Beauty and the Beast A Board Game Adventure,3.99,10.99,24.99,045496730987,2765,https://www.pricecharting.com/game/gameboy-color/beauty-and-the-beast-a-board-game-adventure 
Berry Game Boy Color,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-color/berry-game-boy-color 
Billy Bobs Huntin-n-Fishin,2.99,8.99,15.99,031719199747,2766,https://www.pricecharting.com/game/gameboy-color/billy-bobs-huntin-n-fishin 
Bionic Commando Elite Forces,15.99,34.99,54.99,045496731069,13294,https://www.pricecharting.com/game/gameboy-color/bionic-commando-elite-forces 
Blade,18.99,59.99,79.99,047875800052,2768,https://www.pricecharting.com/game/gameboy-color/blade 
Blades of Steel 99,7.99,8.99,14.99,083717140245,13297,https://www.pricecharting.com/game/gameboy-color/blades-of-steel-99 
Blaster Master Enemy Below,34.99,89.99,269.99,020763110570,2769,https://www.pricecharting.com/game/gameboy-color/blaster-master-enemy-below 
Blue's Clues Blue's Alphabet Book,3.99,19.99,24.99,074299280610,13300,https://www.pricecharting.com/game/gameboy-color/blue's-clues-blue's-alphabet-book 
Bob the Builder Fix it Fun,2.99,5.99,12.99,785138320960,13303,https://www.pricecharting.com/game/gameboy-color/bob-the-builder-fix-it-fun 
Bomberman Max Blue Champion,12.99,24.99,99.99,681313062550,13305,https://www.pricecharting.com/game/gameboy-color/bomberman-max-blue-champion 
Bomberman Max Red Challenger,8.99,34.99,54.99,681313062567,13306,https://www.pricecharting.com/game/gameboy-color/bomberman-max-red-challenger 
