2006 FIFA World Cup,3.99,7.99,13.99,014633152029,11066,https://www.pricecharting.com/game/gameboy-advance/2006-fifa-world-cup 
3D Pool,3.99,3.99,5.99,893384000021,1964,https://www.pricecharting.com/game/gameboy-advance/3d-pool 
3-in-1 Rec Room Challenge,4.99,9.99,14.99,096427014614,11338,https://www.pricecharting.com/game/gameboy-advance/3-in-1-rec-room-challenge 
3-in-1 Sports Pack,3.99,10.99,15.99,096427014522,11336,https://www.pricecharting.com/game/gameboy-advance/3-in-1-sports-pack 
A Boy and His Blob Jelly's Cosmic Adventure,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-advance/a-boy-and-his-blob-jelly's-cosmic-adventure 
Ace Combat Advance,5.99,15.99,19.99,722674500098,10954,https://www.pricecharting.com/game/gameboy-advance/ace-combat-advance 
Action Replay Advance,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-advance/action-replay-advance 
Activision Anthology,19.99,39.99,59.99,618870401201,1967,https://www.pricecharting.com/game/gameboy-advance/activision-anthology 
Advance Guardian Heroes,29.99,44.99,59.99,008888142096,1968,https://www.pricecharting.com/game/gameboy-advance/advance-guardian-heroes 
Advance Wars,39.99,99.99,359.99,045496731458,1969,https://www.pricecharting.com/game/gameboy-advance/advance-wars 
Advance Wars 2,34.99,79.99,144.99,045496733124,1970,https://www.pricecharting.com/game/gameboy-advance/advance-wars-2 
Aerial Aces,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-advance/aerial-aces 
Aero the Acro-Bat,8.99,24.99,49.99,650001771142,10937,https://www.pricecharting.com/game/gameboy-advance/aero-the-acro-bat 
Agassi Tennis Generation,2.99,3.99,9.99,625904359902,1971,https://www.pricecharting.com/game/gameboy-advance/agassi-tennis-generation 
Aggravation/ Sorry/ Scrabble Jr,2.99,3.99,6.99,802068100469,1972,https://www.pricecharting.com/game/gameboy-advance/aggravation-sorry-scrabble-jr 
Aggressive Inline,3.99,7.99,24.99,021481522935,1973,https://www.pricecharting.com/game/gameboy-advance/aggressive-inline 
Airforce Delta Storm,13.99,17.99,34.99,083717500377,11289,https://www.pricecharting.com/game/gameboy-advance/airforce-delta-storm 
Aladdin,39.99,64.99,94.99,013388280186,1974,https://www.pricecharting.com/game/gameboy-advance/aladdin 
Alex Rider Stormbreaker,2.99,3.99,5.99,785138322292,11651,https://www.pricecharting.com/game/gameboy-advance/alex-rider-stormbreaker 
Alienators Evolution Continues,2.99,11.99,24.99,047875802858,1975,https://www.pricecharting.com/game/gameboy-advance/alienators-evolution-continues 
All Grown Up Volume 1,3.99,4.99,8.99,096427013570,1976,https://www.pricecharting.com/game/gameboy-advance/all-grown-up-volume-1 
All-Star Baseball 2003,3.99,10.99,15.99,021481522812,1977,https://www.pricecharting.com/game/gameboy-advance/all-star-baseball-2003 
All-Star Baseball 2004,6.99,12.99,19.99,021481523123,1978,https://www.pricecharting.com/game/gameboy-advance/all-star-baseball-2004 
Altered Beast Guardian of the Realms,24.99,54.99,74.99,785138321189,1979,https://www.pricecharting.com/game/gameboy-advance/altered-beast-guardian-of-the-realms 
Amazing Virtual Sea-Monkeys,13.99,49.99,74.99,815315000344,18709,https://www.pricecharting.com/game/gameboy-advance/amazing-virtual-sea-monkeys 
American Bass Challenge,3.99,10.99,15.99,008888140122,1980,https://www.pricecharting.com/game/gameboy-advance/american-bass-challenge 
American Dragon Jake Long Rise of the Huntsclan,4.99,9.99,14.99,712725002558,10975,https://www.pricecharting.com/game/gameboy-advance/american-dragon-jake-long-rise-of-the-huntsclan 
American Idol,2.99,3.99,8.99,767649400683,1981,https://www.pricecharting.com/game/gameboy-advance/american-idol 
An American Tail Fievel's Gold Rush,5.99,34.99,49.99,815315000146,10398,https://www.pricecharting.com/game/gameboy-advance/an-american-tail-fievel's-gold-rush 
Animal Crossing-e: Series 1,2.99,7.99,64.99,045496732165,42393,https://www.pricecharting.com/game/gameboy-advance/animal-crossing-e-series-1 
Animal Snap,2.99,3.99,5.99,893384000175,11823,https://www.pricecharting.com/game/gameboy-advance/animal-snap 
Animaniacs Lights Camera Action,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-advance/animaniacs-lights-camera-action 
Ant Bully,1.99,2.99,8.99,031719191567,7265,https://www.pricecharting.com/game/gameboy-advance/ant-bully 
Antz Extreme Racing,2.99,4.99,19.99,020626715898,1982,https://www.pricecharting.com/game/gameboy-advance/antz-extreme-racing 
Arctic Tale,3.99,5.99,10.99,802068101282,11739,https://www.pricecharting.com/game/gameboy-advance/arctic-tale 
Army Men Advance,5.99,13.99,19.99,790561523116,1983,https://www.pricecharting.com/game/gameboy-advance/army-men-advance 
Army Men Operation Green,12.99,24.99,39.99,790561524717,11700,https://www.pricecharting.com/game/gameboy-advance/army-men-operation-green 
Army Men Turf War,19.99,109.99,164.99,790561509714,11698,https://www.pricecharting.com/game/gameboy-advance/army-men-turf-war 
Around the World in 80 Days,3.99,7.99,12.99,677990104591,11429,https://www.pricecharting.com/game/gameboy-advance/around-the-world-in-80-days 
Arthur and the Invisibles,3.99,4.99,7.99,742725273900,1984,https://www.pricecharting.com/game/gameboy-advance/arthur-and-the-invisibles 
A Sound of Thunder,19.99,109.99,114.99,682384320181,1965,https://www.pricecharting.com/game/gameboy-advance/a-sound-of-thunder 
Asteroids / Pong / Yar's Revenge,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-advance/asteroids-pong-yar's-revenge 
Astro Boy Omega Factor,69.99,109.99,224.99,010086600278,1986,https://www.pricecharting.com/game/gameboy-advance/astro-boy-omega-factor 
Atari Anniversary Advance,8.99,17.99,29.99,742725234949,1987,https://www.pricecharting.com/game/gameboy-advance/atari-anniversary-advance 
Atomic Betty,4.99,13.99,24.99,722674500159,1988,https://www.pricecharting.com/game/gameboy-advance/atomic-betty 
ATV Quad Power Racing,2.99,5.99,9.99,021481523024,1989,https://www.pricecharting.com/game/gameboy-advance/atv-quad-power-racing 
ATV Thunder Ridge Riders,3.99,7.99,11.99,802068100926,8544,https://www.pricecharting.com/game/gameboy-advance/atv-thunder-ridge-riders 
Avatar The Burning Earth,8.99,10.99,15.99,785138322575,10246,https://www.pricecharting.com/game/gameboy-advance/avatar-the-burning-earth 
Avatar the Last Airbender,9.99,12.99,39.99,785138322384,1990,https://www.pricecharting.com/game/gameboy-advance/avatar-the-last-airbender 
Babar: To the Rescue,5.99,7.99,11.99,855433001328,21673,https://www.pricecharting.com/game/gameboy-advance/babar-to-the-rescue 
BackTrack,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-advance/backtrack 
Backyard Baseball,4.99,11.99,14.99,742725235014,1992,https://www.pricecharting.com/game/gameboy-advance/backyard-baseball 
Backyard Baseball 2006,4.99,15.99,24.99,742725260856781772974927,1993,https://www.pricecharting.com/game/gameboy-advance/backyard-baseball-2006 
Backyard Baseball 2007,5.99,7.99,12.99,742725273641,11602,https://www.pricecharting.com/game/gameboy-advance/backyard-baseball-2007 
Backyard Basketball,3.99,8.99,15.99,742725235441,1994,https://www.pricecharting.com/game/gameboy-advance/backyard-basketball 
Backyard Basketball 2007,3.99,10.99,15.99,742725273689,11604,https://www.pricecharting.com/game/gameboy-advance/backyard-basketball-2007 
Backyard Football,5.99,8.99,19.99,742725235434,1995,https://www.pricecharting.com/game/gameboy-advance/backyard-football 
Backyard Football 2006,2.99,3.99,10.99,742725265332,11587,https://www.pricecharting.com/game/gameboy-advance/backyard-football-2006 
Backyard Football 2007,3.99,7.99,11.99,742725273726,11606,https://www.pricecharting.com/game/gameboy-advance/backyard-football-2007 
Backyard Hockey,3.99,10.99,17.99,742725248052,1996,https://www.pricecharting.com/game/gameboy-advance/backyard-hockey 
Backyard Skateboarding,3.99,4.99,5.99,742725265363,11588,https://www.pricecharting.com/game/gameboy-advance/backyard-skateboarding 
Baldur's Gate Dark Alliance,34.99,59.99,99.99,802068100186,1997,https://www.pricecharting.com/game/gameboy-advance/baldur's-gate-dark-alliance 
Ballistic Ecks vs Sever,11.99,24.99,34.99,682384320211,11434,https://www.pricecharting.com/game/gameboy-advance/ballistic-ecks-vs-sever 
Balloon Fight Ecard,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-advance/balloon-fight-ecard 
Banjo Kazooie Grunty's Revenge,24.99,109.99,129.99,785138321530,1998,https://www.pricecharting.com/game/gameboy-advance/banjo-kazooie-grunty's-revenge 
Banjo Pilot,34.99,124.99,184.99,785138321554,1999,https://www.pricecharting.com/game/gameboy-advance/banjo-pilot 
Barbarian,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-advance/barbarian 
Barbie and the Magic of Pegasus,4.99,10.99,15.99,020626723671,2000,https://www.pricecharting.com/game/gameboy-advance/barbie-and-the-magic-of-pegasus 
Barbie Compilation,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-advance/barbie-compilation 
Barbie Diaries High School Mystery,2.99,5.99,8.99,047875753150,11215,https://www.pricecharting.com/game/gameboy-advance/barbie-diaries-high-school-mystery 
Barbie Groovy Games,2.99,8.99,8.99,020626717045,2001,https://www.pricecharting.com/game/gameboy-advance/barbie-groovy-games 
Barbie Horse Adventures Blue Ribbon Race,1.99,5.99,7.99,020626720533,2002,https://www.pricecharting.com/game/gameboy-advance/barbie-horse-adventures-blue-ribbon-race 
Barbie In The 12 Dancing Princesses,7.99,8.99,16.99,047875753136,8555,https://www.pricecharting.com/game/gameboy-advance/barbie-in-the-12-dancing-princesses 
Barbie Island Princess,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-advance/barbie-island-princess 
Barbie Princess and the Pauper,9.99,13.99,19.99,020626721950,2003,https://www.pricecharting.com/game/gameboy-advance/barbie-princess-and-the-pauper 
Barbie Secret Agent Barbie,3.99,5.99,9.99,020626717533,8556,https://www.pricecharting.com/game/gameboy-advance/barbie-secret-agent-barbie 
Barbie Superpack,3.99,10.99,15.99,020626724111,2004,https://www.pricecharting.com/game/gameboy-advance/barbie-superpack 
Barnyard,3.99,7.99,11.99,785138321844,2005,https://www.pricecharting.com/game/gameboy-advance/barnyard 
Baseball Advance,11.99,29.99,44.99,785138321011,11639,https://www.pricecharting.com/game/gameboy-advance/baseball-advance 
Batman Begins,10.99,14.99,39.99,014633149098,2006,https://www.pricecharting.com/game/gameboy-advance/batman-begins 
Batman Rise of Sin Tzu,24.99,74.99,129.99,008888141495,2007,https://www.pricecharting.com/game/gameboy-advance/batman-rise-of-sin-tzu 
Batman Vengeance,13.99,39.99,64.99,008888140030,2008,https://www.pricecharting.com/game/gameboy-advance/batman-vengeance 
Battle B-Daman,6.99,7.99,24.99,730865850174,8578,https://www.pricecharting.com/game/gameboy-advance/battle-b-daman 
Battle B-Daman: Fire Spirits,8.99,10.99,24.99,730865850228,8579,https://www.pricecharting.com/game/gameboy-advance/battle-b-daman-fire-spirits 
Battlebots Beyond the Battlebox,4.99,5.99,11.99,096427012740,2009,https://www.pricecharting.com/game/gameboy-advance/battlebots-beyond-the-battlebox 
Battlebots Design and Destroy,3.99,3.99,10.99,096427013204,2010,https://www.pricecharting.com/game/gameboy-advance/battlebots-design-and-destroy 
Battle for Bikini Bottom & Freeze Frame Frenzy Double Pack,2.99,8.99,24.99,785138322032,30778,https://www.pricecharting.com/game/gameboy-advance/battle-for-bikini-bottom-%26-freeze-frame-frenzy-double-pack 
Bee Game,8.99,199.99,299.99,031719191925,11150,https://www.pricecharting.com/game/gameboy-advance/bee-game 
Bejeweled,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-advance/bejeweled 
Berenstain Bears and the Spooky Old Tree,4.99,10.99,16.99,722674500142,10584,https://www.pricecharting.com/game/gameboy-advance/berenstain-bears-and-the-spooky-old-tree 
Beyblade Grevolution,9.99,16.99,24.99,742725256897,11973,https://www.pricecharting.com/game/gameboy-advance/beyblade-grevolution 
Beyblade V Force,3.99,9.99,19.99,742725248489,2012,https://www.pricecharting.com/game/gameboy-advance/beyblade-v-force 
Big Mutha Truckers,7.99,12.99,14.99,802068100346,2014,https://www.pricecharting.com/game/gameboy-advance/big-mutha-truckers 
Bionicle Heroes,6.99,8.99,15.99,788687400275,2015,https://www.pricecharting.com/game/gameboy-advance/bionicle-heroes 
Bionicle Matoran Adventures,4.99,19.99,24.99,014633145540,8611,https://www.pricecharting.com/game/gameboy-advance/bionicle-matoran-adventures 
Bionicle Maze of Shadows,5.99,12.99,19.99,785138321820,11647,https://www.pricecharting.com/game/gameboy-advance/bionicle-maze-of-shadows 
Bionicle The Game,2.99,7.99,34.99,785138321516,2016,https://www.pricecharting.com/game/gameboy-advance/bionicle-the-game 
Black and Silver Gameboy Advance SP,ND,ND,ND,,,https://www.pricecharting.com/game/gameboy-advance/black-and-silver-gameboy-advance-sp 
