5 in 1 Fun Pak,2.99,9.99,209.99,040421850242,18175,https://www.pricecharting.com/game/sega-game-gear/5-in-1-fun-pak 
Addams Family,11.99,39.99,74.99,741062112132,18176,https://www.pricecharting.com/game/sega-game-gear/addams-family 
Adventures of Batman and Robin,9.99,29.99,59.99,010086025521,18177,https://www.pricecharting.com/game/sega-game-gear/adventures-of-batman-and-robin 
Aerial Assault,7.99,24.99,49.99,010086023206,18178,https://www.pricecharting.com/game/sega-game-gear/aerial-assault 
Aladdin,3.99,9.99,13.99,096427012061,18179,https://www.pricecharting.com/game/sega-game-gear/aladdin 
Alien 3,12.99,49.99,174.99,734549002019,18180,https://www.pricecharting.com/game/sega-game-gear/alien-3 
Alien Syndrome,ND,ND,ND,,,https://www.pricecharting.com/game/sega-game-gear/alien-syndrome 
Andre Agassi Tennis,16.99,19.99,29.99,751571130015,18182,https://www.pricecharting.com/game/sega-game-gear/andre-agassi-tennis 
Arcade Classics,6.99,19.99,34.99,010086023305,18183,https://www.pricecharting.com/game/sega-game-gear/arcade-classics 
Arch Rivals,5.99,19.99,39.99,741062112057,18184,https://www.pricecharting.com/game/sega-game-gear/arch-rivals 
Arena Maze of Death,49.99,119.99,214.99,010086025651,15040,https://www.pricecharting.com/game/sega-game-gear/arena-maze-of-death 
Ariel the Little Mermaid,5.99,19.99,39.99,010086024111,18185,https://www.pricecharting.com/game/sega-game-gear/ariel-the-little-mermaid 
Asterix and the Great Rescue,6.99,24.99,44.99,010086025200,18186,https://www.pricecharting.com/game/sega-game-gear/asterix-and-the-great-rescue 
Asterix and the Secret Mission,ND,ND,ND,,,https://www.pricecharting.com/game/sega-game-gear/asterix-and-the-secret-mission 
Axe Battler a Legend of Golden Axe,19.99,29.99,134.99,010086024050,18188,https://www.pricecharting.com/game/sega-game-gear/axe-battler-a-legend-of-golden-axe 
Baku Baku,11.99,29.99,109.99,010086850406,18189,https://www.pricecharting.com/game/sega-game-gear/baku-baku 
Batman Forever,5.99,15.99,24.99,021481850199,18192,https://www.pricecharting.com/game/sega-game-gear/batman-forever 
Batman Returns,7.99,19.99,39.99,010086024166,18193,https://www.pricecharting.com/game/sega-game-gear/batman-returns 
Batter Up,6.99,24.99,49.99,722674020107,18194,https://www.pricecharting.com/game/sega-game-gear/batter-up 
Battleship,7.99,17.99,204.99,050047114888,18195,https://www.pricecharting.com/game/sega-game-gear/battleship 
Battletoads,24.99,119.99,219.99,031719209248,18196,https://www.pricecharting.com/game/sega-game-gear/battletoads 
Beavis and Butthead,15.99,39.99,124.99,040824225012,18197,https://www.pricecharting.com/game/sega-game-gear/beavis-and-butthead 
Berenstain Bears Camping Adventures,3.99,8.99,18.99,010086024470,18198,https://www.pricecharting.com/game/sega-game-gear/berenstain-bears-camping-adventures 
Bonkers Wax Up,6.99,39.99,69.99,010086025361,18199,https://www.pricecharting.com/game/sega-game-gear/bonkers-wax-up 
Bram Stokers Dracula,6.99,19.99,39.99,090451501065,18200,https://www.pricecharting.com/game/sega-game-gear/bram-stoker%27s-dracula 
Bubble Bobble,24.99,39.99,74.99,020588010888,18201,https://www.pricecharting.com/game/sega-game-gear/bubble-bobble 
Bugs Bunny Crazy Castle,ND,ND,ND,,,https://www.pricecharting.com/game/sega-game-gear/bugs-bunny-crazy-castle 
Bugs Bunny Double Trouble,6.99,19.99,44.99,010086025699,18203,https://www.pricecharting.com/game/sega-game-gear/bugs-bunny-double-trouble 
Bust a Move,8.99,19.99,54.99,010086025675,18204,https://www.pricecharting.com/game/sega-game-gear/bust-a-move 
Bust a Move 3,ND,ND,ND,,,https://www.pricecharting.com/game/sega-game-gear/bust-a-move-3 
Caesars Palace,2.99,5.99,6.99,052145850095096427012405,18206,https://www.pricecharting.com/game/sega-game-gear/caesar%27s-palace 
Captain America and the Avengers,24.99,49.99,94.99,050047114895,18207,https://www.pricecharting.com/game/sega-game-gear/captain-america-and-the-avengers 
Castle of Illusion Starring Mickey Mouse,ND,ND,ND,,,https://www.pricecharting.com/game/sega-game-gear/castle-of-illusion-starring-mickey-mouse 
Chakan,7.99,34.99,49.99,010086024142,18209,https://www.pricecharting.com/game/sega-game-gear/chakan 
Chase HQ,9.99,18.99,194.99,020588010482,18210,https://www.pricecharting.com/game/sega-game-gear/chase-hq 
Cheese Cat-Astrophe Starring Speedy Gonzales,10.99,19.99,39.99,010086025231,18211,https://www.pricecharting.com/game/sega-game-gear/cheese-cat-astrophe-starring-speedy-gonzales 
Chessmaster,3.99,10.99,24.99,010086023176,18212,https://www.pricecharting.com/game/sega-game-gear/chessmaster 
Chicago Syndicate,7.99,39.99,64.99,010086025354,18213,https://www.pricecharting.com/game/sega-game-gear/chicago-syndicate 
Choplifter III,8.99,29.99,49.99,027479980022,18214,https://www.pricecharting.com/game/sega-game-gear/choplifter-iii 
Chuck Rock,3.99,29.99,59.99,010086024302,18215,https://www.pricecharting.com/game/sega-game-gear/chuck-rock 
Chuck Rock II Son of Chuck,8.99,39.99,69.99,,18216,https://www.pricecharting.com/game/sega-game-gear/chuck-rock-ii-son-of-chuck 
Cliffhanger,15.99,84.99,624.99,,18217,https://www.pricecharting.com/game/sega-game-gear/cliffhanger 
Clutch Hitter,1.99,8.99,19.99,010086023114,18218,https://www.pricecharting.com/game/sega-game-gear/clutch-hitter 
Coca Cola Kid,29.99,149.99,194.99,,18219,https://www.pricecharting.com/game/sega-game-gear/coca-cola-kid 
Columns,2.99,6.99,11.99,010086022018,18220,https://www.pricecharting.com/game/sega-game-gear/columns 
Contra,ND,ND,ND,,,https://www.pricecharting.com/game/sega-game-gear/contra 
Cool Spot,8.99,24.99,54.99,052145850101,18222,https://www.pricecharting.com/game/sega-game-gear/cool-spot 
Cosmic Spacehead,44.99,109.99,199.99,767649160136,18223,https://www.pricecharting.com/game/sega-game-gear/cosmic-spacehead 
Crystal Warriors,29.99,69.99,129.99,010086025026,18224,https://www.pricecharting.com/game/sega-game-gear/crystal-warriors 
Cutthroat Island,4.99,39.99,74.99,021481850229,18225,https://www.pricecharting.com/game/sega-game-gear/cutthroat-island 
Daffy Duck in Hollywood,ND,ND,ND,,,https://www.pricecharting.com/game/sega-game-gear/daffy-duck-in-hollywood 
Defenders of Oasis,34.99,59.99,104.99,010086025033,18227,https://www.pricecharting.com/game/sega-game-gear/defenders-of-oasis 
Desert Speedtrap Starring Road Runner and Wile E Coyote,3.99,7.99,13.99,010086024425,18228,https://www.pricecharting.com/game/sega-game-gear/desert-speedtrap-starring-road-runner-and-wile-e-coyote 
Desert Strike,ND,ND,ND,,,https://www.pricecharting.com/game/sega-game-gear/desert-strike 
Devilish,19.99,24.99,44.99,721337100071,18230,https://www.pricecharting.com/game/sega-game-gear/devilish 
Donald Duck the Lucky Dime Caper,ND,ND,ND,,,https://www.pricecharting.com/game/sega-game-gear/donald-duck-the-lucky-dime-caper 
Double Dragon,29.99,64.99,119.99,052145850002,18232,https://www.pricecharting.com/game/sega-game-gear/double-dragon 
Dragon Crystal,12.99,19.99,54.99,010086023053,18234,https://www.pricecharting.com/game/sega-game-gear/dragon-crystal 
Dragon the Bruce Lee Story,6.99,19.99,49.99,021481850427,18235,https://www.pricecharting.com/game/sega-game-gear/dragon-the-bruce-lee-story 
Dr Robotniks Mean Bean Machine,9.99,17.99,29.99,010086024463,18233,https://www.pricecharting.com/game/sega-game-gear/dr-robotnik%27s-mean-bean-machine 
Dunk Kids,ND,ND,ND,,,https://www.pricecharting.com/game/sega-game-gear/dunk-kids 
Dynamite Headdy,6.99,29.99,49.99,010086025446,18237,https://www.pricecharting.com/game/sega-game-gear/dynamite-headdy 
Earthworm Jim,24.99,99.99,179.99,000057007007,18238,https://www.pricecharting.com/game/sega-game-gear/earthworm-jim 
Ecco the Dolphin,3.99,9.99,19.99,010086025163,18239,https://www.pricecharting.com/game/sega-game-gear/ecco-the-dolphin 
Ecco the Tides of Time,2.99,10.99,154.99,010086025415,18240,https://www.pricecharting.com/game/sega-game-gear/ecco-the-tides-of-time 
Ernie Els Golf,ND,ND,ND,,,https://www.pricecharting.com/game/sega-game-gear/ernie-els-golf 
Eternal Legend,ND,ND,ND,,,https://www.pricecharting.com/game/sega-game-gear/eternal-legend 
Evander Holyfields Real Deal Boxing,2.99,10.99,19.99,010086024197,18243,https://www.pricecharting.com/game/sega-game-gear/evander-holyfield%27s-real-deal-boxing 
