1080 Avalanche,11.99,17.99,74.99,045496960445045496960452,3144,https://www.pricecharting.com/game/gamecube/1080-avalanche 
16MB 251 Block Memory Card,13.99,13.99,39.99,045496950507,3145,https://www.pricecharting.com/game/gamecube/16mb-251-block-memory-card 
18 Wheeler American Pro Trucker,2.99,8.99,24.99,021481652694,3146,https://www.pricecharting.com/game/gamecube/18-wheeler-american-pro-trucker 
4MB 59 Block Memory Card,11.99,11.99,29.99,045496950026,3147,https://www.pricecharting.com/game/gamecube/4mb-59-block-memory-card 
4x4 EVO 2,3.99,9.99,29.99,020626718035,3148,https://www.pricecharting.com/game/gamecube/4x4-evo-2 
64MB 1019 Block Memory Card,19.99,24.99,69.99,045496950583,3150,https://www.pricecharting.com/game/gamecube/64mb-1019-block-memory-card 
Action Replay Ultimate Codes,16.99,19.99,54.99,850006000814,3151,https://www.pricecharting.com/game/gamecube/action-replay-ultimate-codes 
Action Replay w/ CD,19.99,19.99,44.99,,4956,https://www.pricecharting.com/game/gamecube/action-replay-w-cd 
Agent Under Fire,9.99,13.99,39.99,014633144369,3153,https://www.pricecharting.com/game/gamecube/007-agent-under-fire 
Aggressive Inline,4.99,10.99,29.99,021481652939,3154,https://www.pricecharting.com/game/gamecube/aggressive-inline 
Alien Hominid,44.99,74.99,144.99,873469005011,3155,https://www.pricecharting.com/game/gamecube/alien-hominid 
All-Star Baseball 2002,1.99,2.99,19.99,021481652076,3156,https://www.pricecharting.com/game/gamecube/all-star-baseball-2002 
All-Star Baseball 2003,2.99,3.99,15.99,021481652816,3157,https://www.pricecharting.com/game/gamecube/all-star-baseball-2003 
All-Star Baseball 2004,1.99,2.99,19.99,021481653127,3158,https://www.pricecharting.com/game/gamecube/all-star-baseball-2004 
Amazing Island,19.99,39.99,64.99,010086610321,3159,https://www.pricecharting.com/game/gamecube/amazing-island 
American Chopper 2 Full Throttle,1.99,3.99,17.99,047875751378,3160,https://www.pricecharting.com/game/gamecube/american-chopper-2-full-throttle 
Animal Crossing,39.99,59.99,269.99,045496960322045496960490045496960339,3161,https://www.pricecharting.com/game/gamecube/animal-crossing 
