1080 Avalanche,4,30,1,http://videogames.pricecharting.com/game/gamecube/1080-avalanche 
16MB 251 Block Memory Card,,,,http://videogames.pricecharting.com/game/gamecube/16mb-251-block-memory-card 
18 Wheeler American Pro Trucker,4,4,0,http://videogames.pricecharting.com/game/gamecube/18-wheeler-american-pro-trucker 
4MB 59 Block Memory Card,,,,http://videogames.pricecharting.com/game/gamecube/4mb-59-block-memory-card 
4x4 EVO 2,2,4,0,http://videogames.pricecharting.com/game/gamecube/4x4-evo-2 
64MB 1019 Block Memory Card,,,,http://videogames.pricecharting.com/game/gamecube/64mb-1019-block-memory-card 
Action Replay Ultimate Codes,1,0,0,http://videogames.pricecharting.com/game/gamecube/action-replay-ultimate-codes 
Action Replay w/ CD,,,,http://videogames.pricecharting.com/game/gamecube/action-replay-w-cd 
Agent Under Fire,,,,http://videogames.pricecharting.com/game/gamecube/agent-under-fire 
Aggressive Inline,1,2,0,http://videogames.pricecharting.com/game/gamecube/aggressive-inline 
Alien Hominid,4,12,1,http://videogames.pricecharting.com/game/gamecube/alien-hominid 
All-Star Baseball 2002,2,1,0,http://videogames.pricecharting.com/game/gamecube/all-star-baseball-2002 
All-Star Baseball 2003,1,1,0,http://videogames.pricecharting.com/game/gamecube/all-star-baseball-2003 
All-Star Baseball 2004,1,1,0,http://videogames.pricecharting.com/game/gamecube/all-star-baseball-2004 
Amazing Island,4,8,0,http://videogames.pricecharting.com/game/gamecube/amazing-island 
American Chopper 2 Full Throttle,1,1,0,http://videogames.pricecharting.com/game/gamecube/american-chopper-2-full-throttle 
American Idol,,,,http://videogames.pricecharting.com/game/gamecube/american-idol 
Animal Crossing,60,180,4,http://videogames.pricecharting.com/game/gamecube/animal-crossing 
Animaniacs The Great Edgar Hunt,1,4,0,http://videogames.pricecharting.com/game/gamecube/animaniacs-the-great-edgar-hunt 
Ant Bully,1,1,0,http://videogames.pricecharting.com/game/gamecube/ant-bully 
Aquaman,1,1,0,http://videogames.pricecharting.com/game/gamecube/aquaman 
Army Men Air Combat Elite Missions,1,1,0,http://videogames.pricecharting.com/game/gamecube/army-men-air-combat-elite-missions 
Army Men RTS,4,8,1,http://videogames.pricecharting.com/game/gamecube/army-men-rts 
Army Men Sarge's War,4,8,0,http://videogames.pricecharting.com/game/gamecube/army-men-sarge's-war 
ATV Quad Power Racing 2,4,8,0,http://videogames.pricecharting.com/game/gamecube/atv-quad-power-racing-2 
Auto Modellista,1,4,0,http://videogames.pricecharting.com/game/gamecube/auto-modellista 
Avatar the Last Airbender,4,4,1,http://videogames.pricecharting.com/game/gamecube/avatar-the-last-airbender 
