3 Ninjas Kick Back,49.99,134.99,334.99,735009215000,8442,https://www.pricecharting.com/game/sega-genesis/3-ninjas-kick-back 
688 Attack Sub,3.99,10.99,29.99,010086014013,8449,https://www.pricecharting.com/game/sega-genesis/688-attack-sub 
AAAHH Real Monsters,6.99,19.99,49.99,040824211008,12568,https://www.pricecharting.com/game/sega-genesis/aaahh-real-monsters 
Action 52,44.99,89.99,339.99,730669194801,13933,https://www.pricecharting.com/game/sega-genesis/action-52 
Addams Family Values,ND,ND,ND,,,https://www.pricecharting.com/game/sega-genesis/addams-family-values 
A Dinosaurs Tale,7.99,34.99,89.99,087855000454,33626,https://www.pricecharting.com/game/sega-genesis/a-dinosaur%27s-tale 
Adventures of Batman and Robin,24.99,89.99,329.99,100860153554,8467,https://www.pricecharting.com/game/sega-genesis/adventures-of-batman-and-robin 
Adventures of Mighty Max,6.99,19.99,69.99,020295060039,8470,https://www.pricecharting.com/game/sega-genesis/adventures-of-mighty-max 
Aerobiz,24.99,54.99,134.99,040198000529,8478,https://www.pricecharting.com/game/sega-genesis/aerobiz 
Aerobiz Supersonic,39.99,114.99,289.99,040198000758,8479,https://www.pricecharting.com/game/sega-genesis/aerobiz-supersonic 
Aero the Acro-Bat,7.99,24.99,119.99,020763113069,8476,https://www.pricecharting.com/game/sega-genesis/aero-the-acro-bat 
Aero the Acro-Bat 2,44.99,244.99,614.99,020763113144,8477,https://www.pricecharting.com/game/sega-genesis/aero-the-acro-bat-2 
After Burner II,11.99,18.99,44.99,010086011043,8484,https://www.pricecharting.com/game/sega-genesis/after-burner-ii 
Air Buster,49.99,119.99,264.99,021996000027,8486,https://www.pricecharting.com/game/sega-genesis/air-buster 
Air Diver,5.99,18.99,44.99,716065247389,11955,https://www.pricecharting.com/game/sega-genesis/air-diver 
Aladdin,7.99,11.99,254.99,010086010589,11959,https://www.pricecharting.com/game/sega-genesis/aladdin 
Alex Kidd in the Enchanted Castle,12.99,29.99,69.99,010086010053,12018,https://www.pricecharting.com/game/sega-genesis/alex-kidd-in-the-enchanted-castle 
Alien 3,10.99,19.99,104.99,734549001043,8494,https://www.pricecharting.com/game/sega-genesis/alien-3 
Alien Soldier [PAL],304.99,419.99,1549.99,,45827,https://www.pricecharting.com/game/sega-genesis/alien-soldier-%5Bpal%5D 
Alien Storm,24.99,69.99,109.99,010086011210,8497,https://www.pricecharting.com/game/sega-genesis/alien-storm 
Alisia Dragoon,64.99,159.99,399.99,010086010398,19636,https://www.pricecharting.com/game/sega-genesis/alisia-dragoon 
Altered Beast,8.99,19.99,29.99,010086011005,8505,https://www.pricecharting.com/game/sega-genesis/altered-beast 
American Gladiators,8.99,18.99,44.99,043948003030,8506,https://www.pricecharting.com/game/sega-genesis/american-gladiators 
Andre Agassi Tennis,2.99,9.99,24.99,751571120016,8509,https://www.pricecharting.com/game/sega-genesis/andre-agassi-tennis 
Animaniacs,8.99,19.99,49.99,083717160144,8512,https://www.pricecharting.com/game/sega-genesis/animaniacs 
Aquatic Games Starring James Pond,4.99,12.99,119.99,014633071696,31466,https://www.pricecharting.com/game/sega-genesis/aquatic-games-starring-james-pond 
Arcade Classics,4.99,8.99,15.99,010086017151,8517,https://www.pricecharting.com/game/sega-genesis/arcade-classics 
Arch Rivals,7.99,13.99,39.99,741062111036,8522,https://www.pricecharting.com/game/sega-genesis/arch-rivals 
Arcus Odyssey,54.99,164.99,419.99,720238100906,8523,https://www.pricecharting.com/game/sega-genesis/arcus-odyssey 
Ariel the Little Mermaid,9.99,12.99,54.99,010086010411,8526,https://www.pricecharting.com/game/sega-genesis/ariel-the-little-mermaid 
Arnold Palmer Tournament Golf,3.99,7.99,19.99,010086012033,21035,https://www.pricecharting.com/game/sega-genesis/arnold-palmer-tournament-golf 
Arrow Flash,29.99,114.99,284.99,720238100401,15053,https://www.pricecharting.com/game/sega-genesis/arrow-flash 
Art Alive,4.99,8.99,24.99,010086017038,8532,https://www.pricecharting.com/game/sega-genesis/art-alive 
Art of Fighting,6.99,24.99,64.99,010086011463,8533,https://www.pricecharting.com/game/sega-genesis/art-of-fighting 
Asterix and the Great Rescue,4.99,12.99,34.99,010086015324,13697,https://www.pricecharting.com/game/sega-genesis/asterix-and-the-great-rescue 
Atomic Robo-Kid,19.99,44.99,119.99,039915157547,21185,https://www.pricecharting.com/game/sega-genesis/atomic-robo-kid 
Atomic Runner,19.99,79.99,89.99,013252014046,18676,https://www.pricecharting.com/game/sega-genesis/atomic-runner 
ATP Tour Championship Tennis,3.99,12.99,18.99,010086012347,34626,https://www.pricecharting.com/game/sega-genesis/atp-tour-championship-tennis 
Awesome Possum,9.99,19.99,59.99,031763065500,8546,https://www.pricecharting.com/game/sega-genesis/awesome-possum 
Back to the Future III,19.99,109.99,279.99,734549001036,8547,https://www.pricecharting.com/game/sega-genesis/back-to-the-future-iii 
Ballz,3.99,8.99,34.99,015605034121,8551,https://www.pricecharting.com/game/sega-genesis/ballz 
Barbie Super Model,5.99,9.99,24.99,096427011705,8557,https://www.pricecharting.com/game/sega-genesis/barbie-super-model 
