3 Ninjas Kick Back,1,0,0,http://videogames.pricecharting.com/game/sega-genesis/3-ninjas-kick-back 
688 Attack Sub,2,2,0,http://videogames.pricecharting.com/game/sega-genesis/688-attack-sub 
AAAHH Real Monsters,8,4,1,http://videogames.pricecharting.com/game/sega-genesis/aaahh-real-monsters 
Action 52,2,0,0,http://videogames.pricecharting.com/game/sega-genesis/action-52 
Addams Family Values,,,,http://videogames.pricecharting.com/game/sega-genesis/addams-family-values 
A Dinosaurs Tale,1,1,0,http://videogames.pricecharting.com/game/sega-genesis/a-dinosaur%27s-tale 
Adventures of Batman and Robin,30,8,1,http://videogames.pricecharting.com/game/sega-genesis/adventures-of-batman-and-robin 
Adventures of Mighty Max,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/adventures-of-mighty-max 
Aerobiz,2,1,0,http://videogames.pricecharting.com/game/sega-genesis/aerobiz 
Aerobiz Supersonic,1,1,0,http://videogames.pricecharting.com/game/sega-genesis/aerobiz-supersonic 
Aero the Acro-Bat,4,2,0,http://videogames.pricecharting.com/game/sega-genesis/aero-the-acro-bat 
Aero the Acro-Bat 2,1,1,0,http://videogames.pricecharting.com/game/sega-genesis/aero-the-acro-bat-2 
After Burner II,8,4,0,http://videogames.pricecharting.com/game/sega-genesis/after-burner-ii 
Air Buster,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/air-buster 
Air Diver,2,2,,http://videogames.pricecharting.com/game/sega-genesis/air-diver 
Aladdin,60,30,1,http://videogames.pricecharting.com/game/sega-genesis/aladdin 
Alex Kidd in the Enchanted Castle,8,4,0,http://videogames.pricecharting.com/game/sega-genesis/alex-kidd-in-the-enchanted-castle 
Alien 3,8,8,0,http://videogames.pricecharting.com/game/sega-genesis/alien-3 
Alien Soldier [PAL],,,,http://videogames.pricecharting.com/game/sega-genesis/alien-soldier-%5Bpal%5D 
Alien Storm,8,4,0,http://videogames.pricecharting.com/game/sega-genesis/alien-storm 
Alisia Dragoon,30,8,0,http://videogames.pricecharting.com/game/sega-genesis/alisia-dragoon 
Altered Beast,30,30,0,http://videogames.pricecharting.com/game/sega-genesis/altered-beast 
American Gladiators,2,1,0,http://videogames.pricecharting.com/game/sega-genesis/american-gladiators 
Andre Agassi Tennis,1,0,0,http://videogames.pricecharting.com/game/sega-genesis/andre-agassi-tennis 
Animaniacs,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/animaniacs 
Aquatic Games Starring James Pond,1,1,0,http://videogames.pricecharting.com/game/sega-genesis/aquatic-games-starring-james-pond 
Arcade Classics,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/arcade-classics 
Arch Rivals,4,2,0,http://videogames.pricecharting.com/game/sega-genesis/arch-rivals 
Arcus Odyssey,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/arcus-odyssey 
Ariel the Little Mermaid,12,4,0,http://videogames.pricecharting.com/game/sega-genesis/ariel-the-little-mermaid 
Arnold Palmer Tournament Golf,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/arnold-palmer-tournament-golf 
Arrow Flash,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/arrow-flash 
Art Alive,1,1,0,http://videogames.pricecharting.com/game/sega-genesis/art-alive 
Art of Fighting,4,1,0,http://videogames.pricecharting.com/game/sega-genesis/art-of-fighting 
Asterix and the Great Rescue,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/asterix-and-the-great-rescue 
Atomic Robo-Kid,4,2,0,http://videogames.pricecharting.com/game/sega-genesis/atomic-robo-kid 
Atomic Runner,4,2,0,http://videogames.pricecharting.com/game/sega-genesis/atomic-runner 
ATP Tour Championship Tennis,0,0,0,http://videogames.pricecharting.com/game/sega-genesis/atp-tour-championship-tennis 
Awesome Possum,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/awesome-possum 
Back to the Future III,2,1,0,http://videogames.pricecharting.com/game/sega-genesis/back-to-the-future-iii 
Ballz,1,1,0,http://videogames.pricecharting.com/game/sega-genesis/ballz 
Barbie Super Model,4,1,0,http://videogames.pricecharting.com/game/sega-genesis/barbie-super-model 
Barbie Vacation Adventure,,,,http://videogames.pricecharting.com/game/sega-genesis/barbie-vacation-adventure 
Barkley Shut Up and Jam,4,1,0,http://videogames.pricecharting.com/game/sega-genesis/barkley-shut-up-and-jam 
Barkley Shut Up and Jam 2,1,0,0,http://videogames.pricecharting.com/game/sega-genesis/barkley-shut-up-and-jam-2 
Barney Hide and Seek,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/barney-hide-and-seek 
Bass Masters Classic,2,1,0,http://videogames.pricecharting.com/game/sega-genesis/bass-masters-classic 
Batman,8,4,0,http://videogames.pricecharting.com/game/sega-genesis/batman 
Batman Forever,12,8,1,http://videogames.pricecharting.com/game/sega-genesis/batman-forever 
Batman Returns,12,8,0,http://videogames.pricecharting.com/game/sega-genesis/batman-returns 
Batman Revenge of the Joker,4,2,0,http://videogames.pricecharting.com/game/sega-genesis/batman-revenge-of-the-joker 
Battle Master,2,1,0,http://videogames.pricecharting.com/game/sega-genesis/battle-master 
Battle Squadron,2,1,0,http://videogames.pricecharting.com/game/sega-genesis/battle-squadron 
Battletech,8,4,0,http://videogames.pricecharting.com/game/sega-genesis/battletech 
Battletoads,30,4,0,http://videogames.pricecharting.com/game/sega-genesis/battletoads 
Battletoads and Double Dragon,,,,http://videogames.pricecharting.com/game/sega-genesis/battletoads-and-double-dragon 
Beast Wrestler,1,1,0,http://videogames.pricecharting.com/game/sega-genesis/beast-wrestler 
Beauty and the Beast,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/beauty-and-the-beast 
Beauty And The Beast Roar of the Beast,8,4,0,http://videogames.pricecharting.com/game/sega-genesis/beauty-and-the-beast-roar-of-the-beast 
Beavis and Butt-Head,,,,http://videogames.pricecharting.com/game/sega-genesis/beavis-and-butt-head 
Beggar Prince,0,1,0,http://videogames.pricecharting.com/game/sega-genesis/beggar-prince 
Berenstain Bears Camping Adventure,4,1,0,http://videogames.pricecharting.com/game/sega-genesis/berenstain-bears-camping-adventure 
Best of the Best Championship Karate,1,1,0,http://videogames.pricecharting.com/game/sega-genesis/best-of-the-best-championship-karate 
Beyond Oasis,8,4,0,http://videogames.pricecharting.com/game/sega-genesis/beyond-oasis 
Bible Adventures,1,0,0,http://videogames.pricecharting.com/game/sega-genesis/bible-adventures 
Bill Walsh College Football,2,4,0,http://videogames.pricecharting.com/game/sega-genesis/bill-walsh-college-football 
Bill Walsh College Football 95,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/bill-walsh-college-football-95 
Bimini Run,1,1,0,http://videogames.pricecharting.com/game/sega-genesis/bimini-run 
Bio-Hazard Battle,8,4,0,http://videogames.pricecharting.com/game/sega-genesis/bio-hazard-battle 
Blades of Vengeance,8,4,0,http://videogames.pricecharting.com/game/sega-genesis/blades-of-vengeance 
Blaster Master II,4,1,,http://videogames.pricecharting.com/game/sega-genesis/blaster-master-ii 
Blockbuster Game Factory Blue,0,,,http://videogames.pricecharting.com/game/sega-genesis/blockbuster-game-factory-blue 
Blockbuster Game Factory Green,0,,,http://videogames.pricecharting.com/game/sega-genesis/blockbuster-game-factory-green 
Blockbuster World Championships II,0,,,http://videogames.pricecharting.com/game/sega-genesis/blockbuster-world-championships-ii 
Blockout,1,0,0,http://videogames.pricecharting.com/game/sega-genesis/blockout 
B.O.B.,2,1,0,http://videogames.pricecharting.com/game/sega-genesis/bob 
Bonanza Brothers,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/bonanza-brothers 
Bonkers,4,1,0,http://videogames.pricecharting.com/game/sega-genesis/bonkers 
Boogerman A Pick and Flick Adventure,30,4,0,http://videogames.pricecharting.com/game/sega-genesis/boogerman-a-pick-and-flick-adventure 
Boxing Legends Of The Ring,4,1,0,http://videogames.pricecharting.com/game/sega-genesis/boxing-legends-of-the-ring 
Bram Stokers Dracula,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/bram-stoker%27s-dracula 
Brutal Paws of Fury,4,1,0,http://videogames.pricecharting.com/game/sega-genesis/brutal-paws-of-fury 
Bubba and Stix,1,1,0,http://videogames.pricecharting.com/game/sega-genesis/bubba-and-stix 
Bubble and Squeak,2,1,,http://videogames.pricecharting.com/game/sega-genesis/bubble-and-squeak 
Bubsy,8,4,0,http://videogames.pricecharting.com/game/sega-genesis/bubsy 
Bubsy II,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/bubsy-ii 
Buck Rogers Countdown to Doomsday,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/buck-rogers-countdown-to-doomsday 
Budokan: The Martial Spirit,1,1,,http://videogames.pricecharting.com/game/sega-genesis/budokan-the-martial-spirit 
Bugs Bunny Double Trouble,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/bugs-bunny-double-trouble 
Bulls Vs Blazers and the NBA Playoffs,4,2,0,http://videogames.pricecharting.com/game/sega-genesis/bulls-vs-blazers-and-the-nba-playoffs 
Bulls vs Lakers and the NBA Playoffs,4,2,0,http://videogames.pricecharting.com/game/sega-genesis/bulls-vs-lakers-and-the-nba-playoffs 
Burning Force,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/burning-force 
Busters Hidden Treasure,,,,http://videogames.pricecharting.com/game/sega-genesis/buster%27s-hidden-treasure 
Cadash,4,4,,http://videogames.pricecharting.com/game/sega-genesis/cadash 
Caesars Palace,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/caesar%27s-palace 
Caliber 50,4,1,0,http://videogames.pricecharting.com/game/sega-genesis/caliber-50 
California Games,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/california-games 
Cal Ripken Jr. Baseball,1,1,0,http://videogames.pricecharting.com/game/sega-genesis/cal-ripken-jr-baseball 
Captain America and the Avengers,30,8,0,http://videogames.pricecharting.com/game/sega-genesis/captain-america-and-the-avengers 
Castle of Illusion,30,12,0,http://videogames.pricecharting.com/game/sega-genesis/castle-of-illusion 
Castlevania Bloodlines,30,8,1,http://videogames.pricecharting.com/game/sega-genesis/castlevania-bloodlines 
Centurion Defender of Rome,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/centurion-defender-of-rome 
Chakan,30,8,0,http://videogames.pricecharting.com/game/sega-genesis/chakan 
Championship Bowling,1,1,,http://videogames.pricecharting.com/game/sega-genesis/championship-bowling 
Championship Pool,1,1,,http://videogames.pricecharting.com/game/sega-genesis/championship-pool 
Championship Pro-AM,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/championship-pro-am 
Championship Soccer 94,,,,http://videogames.pricecharting.com/game/sega-genesis/championship-soccer-%2794 
Champions World Class Soccer,1,0,1,http://videogames.pricecharting.com/game/sega-genesis/champions-world-class-soccer 
Chase HQ II,2,1,,http://videogames.pricecharting.com/game/sega-genesis/chase-hq-ii 
Chavez Boxing II,1,0,0,http://videogames.pricecharting.com/game/sega-genesis/chavez-boxing-ii 
Chester Cheetah Too Cool to Fool,4,1,0,http://videogames.pricecharting.com/game/sega-genesis/chester-cheetah-too-cool-to-fool 
Chester Cheetah Wild Wild Quest,1,1,0,http://videogames.pricecharting.com/game/sega-genesis/chester-cheetah-wild-wild-quest 
Chi Chis Pro Challenge Golf,0,0,0,http://videogames.pricecharting.com/game/sega-genesis/chi-chi%27s-pro-challenge-golf 
Chiki Chiki Boys,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/chiki-chiki-boys 
Chuck Rock,4,1,0,http://videogames.pricecharting.com/game/sega-genesis/chuck-rock 
Chuck Rock II Son of Chuck,4,2,0,http://videogames.pricecharting.com/game/sega-genesis/chuck-rock-ii-son-of-chuck 
ClayFighter,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/clayfighter 
Cliffhanger,4,2,0,http://videogames.pricecharting.com/game/sega-genesis/cliffhanger 
Clue,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/clue 
Coach K College Basketball,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/coach-k-college-basketball 
College Footballs National Championship,4,1,0,http://videogames.pricecharting.com/game/sega-genesis/college-football%27s-national-championship 
College Football USA 96,4,1,0,http://videogames.pricecharting.com/game/sega-genesis/college-football-usa-96 
College Football USA 97: The Road to New Orleans,4,1,0,http://videogames.pricecharting.com/game/sega-genesis/college-football-usa-97-the-road-to-new-orleans 
College Slam,4,2,0,http://videogames.pricecharting.com/game/sega-genesis/college-slam 
Columns,4,8,0,http://videogames.pricecharting.com/game/sega-genesis/columns 
Columns III: Revenge of Columns,2,2,,http://videogames.pricecharting.com/game/sega-genesis/columns-iii-revenge-of-columns 
Combat Cars,4,4,0,http://videogames.pricecharting.com/game/sega-genesis/combat-cars 
Comix Zone,30,8,0,http://videogames.pricecharting.com/game/sega-genesis/comix-zone 
Contra Hard Corps,12,8,1,http://videogames.pricecharting.com/game/sega-genesis/contra-hard-corps 
