1080 Snowboarding,10.99,44.99,209.99,045496870249,3674,https://www.pricecharting.com/game/nintendo-64/1080-snowboarding 
A Bug's Life,9.99,39.99,169.99,047875107496,3717,https://www.pricecharting.com/game/nintendo-64/a-bug's-life 
Aerofighters Assault,11.99,44.99,224.99,034912640023,3675,https://www.pricecharting.com/game/nintendo-64/aerofighters-assault 
Aero Gauge,10.99,44.99,119.99,093992045005,14427,https://www.pricecharting.com/game/nintendo-64/aero-gauge 
Aidyn Chronicles,24.99,84.99,169.99,785138301150,3676,https://www.pricecharting.com/game/nintendo-64/aidyn-chronicles 
All-Star Baseball 2000,3.99,12.99,59.99,021481641759,3677,https://www.pricecharting.com/game/nintendo-64/all-star-baseball-2000 
All-Star Baseball 2001,5.99,19.99,49.99,021481642022,3678,https://www.pricecharting.com/game/nintendo-64/all-star-baseball-2001 
All-Star Baseball 99,3.99,12.99,49.99,021481641445021481211440,3679,https://www.pricecharting.com/game/nintendo-64/all-star-baseball-99 
Allstar Tennis 99,ND,ND,ND,,,https://www.pricecharting.com/game/nintendo-64/allstar-tennis-99 
Armorines Project SWARM,10.99,39.99,89.99,021481641889,3681,https://www.pricecharting.com/game/nintendo-64/armorines-project-swarm 
Army Men Air Combat,14.99,39.99,154.99,790561507017,3683,https://www.pricecharting.com/game/nintendo-64/army-men-air-combat 
Army Men Sarge's Heroes,13.99,44.99,144.99,790561500469,3684,https://www.pricecharting.com/game/nintendo-64/army-men-sarge's-heroes 
Army Men Sarge's Heroes 2,14.99,39.99,179.99,790561509011,3682,https://www.pricecharting.com/game/nintendo-64/army-men-sarge's-heroes-2 
Asteroids Hyper 64,10.99,29.99,104.99,650008299045,3685,https://www.pricecharting.com/game/nintendo-64/asteroids-hyper-64 
Atomic Black Controller,ND,ND,ND,,,https://www.pricecharting.com/game/nintendo-64/atomic-black-controller 
Atomic Black Nintendo 64 System,ND,ND,ND,,,https://www.pricecharting.com/game/nintendo-64/atomic-black-nintendo-64-system 
Atomic Blue Controller,ND,ND,ND,,,https://www.pricecharting.com/game/nintendo-64/atomic-blue-controller 
Atomic Blue Nintendo 64 System,ND,ND,ND,,,https://www.pricecharting.com/game/nintendo-64/atomic-blue-nintendo-64-system 
Atomic Green Controller,ND,ND,ND,,,https://www.pricecharting.com/game/nintendo-64/atomic-green-controller 
Atomic Green Nintendo 64 System,ND,ND,ND,,,https://www.pricecharting.com/game/nintendo-64/atomic-green-nintendo-64-system 
Atomic Orange Controller,ND,ND,ND,,,https://www.pricecharting.com/game/nintendo-64/atomic-orange-controller 
Atomic Orange Nintendo 64 System,ND,ND,ND,,,https://www.pricecharting.com/game/nintendo-64/atomic-orange-nintendo-64-system 
Atomic Purple Controller,24.99,139.99,439.99,741948003073036540846006,3691,https://www.pricecharting.com/game/nintendo-64/atomic-purple-controller 
Atomic Red Controller,ND,ND,ND,,,https://www.pricecharting.com/game/nintendo-64/atomic-red-controller 
