10-Yard Fight,3.99,39.99,3874.99,045496630270,12168,https://www.pricecharting.com/game/nes/10-yard-fight 
150 in 1 Cartridge,ND,ND,ND,,,https://www.pricecharting.com/game/nes/150-in-1-cartridge 
190 in 1 Cartridge,ND,ND,ND,,,https://www.pricecharting.com/game/nes/190-in-1-cartridge 
1942,11.99,64.99,1339.99,013388110032021000613595,12169,https://www.pricecharting.com/game/nes/1942 
1943: The Battle of Midway,11.99,44.99,214.99,013388110100,12170,https://www.pricecharting.com/game/nes/1943-the-battle-of-midway 
3-D WorldRunner,ND,ND,ND,,,https://www.pricecharting.com/game/nes/3-d-worldrunner 
720,4.99,24.99,114.99,050047103158,12171,https://www.pricecharting.com/game/nes/720 
76 in 1 Cartridge,ND,ND,ND,,,https://www.pricecharting.com/game/nes/76-in-1-cartridge 
8 Eyes,11.99,39.99,219.99,040886308593,12172,https://www.pricecharting.com/game/nes/8-eyes 
Abadox,10.99,59.99,169.99,032244040887,8451,https://www.pricecharting.com/game/nes/abadox 
A Boy and His Blob Trouble on Blobolonia,10.99,29.99,99.99,047875700130,12173,https://www.pricecharting.com/game/nes/a-boy-and-his-blob-trouble-on-blobolonia 
Action 52,279.99,484.99,894.99,730669188800,8453,https://www.pricecharting.com/game/nes/action-52 
Addams Family,12.99,44.99,359.99,020295010034,8455,https://www.pricecharting.com/game/nes/addams-family 
Addams Family Pugsley's Scavenger Hunt,69.99,209.99,839.99,020295010072,8456,https://www.pricecharting.com/game/nes/addams-family-pugsley's-scavenger-hunt 
Advanced Dungeons and Dragons Dragon Strike,ND,ND,ND,,,https://www.pricecharting.com/game/nes/advanced-dungeons-and-dragons-dragon-strike 
Advanced Dungeons and Dragons Heroes of the Lance,ND,ND,ND,,,https://www.pricecharting.com/game/nes/advanced-dungeons-and-dragons-heroes-of-the-lance 
Advanced Dungeons and Dragons Hillsfar,ND,ND,ND,,,https://www.pricecharting.com/game/nes/advanced-dungeons-and-dragons-hillsfar 
Advanced Dungeons and Dragons Pool of Radiance,ND,ND,ND,,,https://www.pricecharting.com/game/nes/advanced-dungeons-and-dragons-pool-of-radiance 
Adventure Island,8.99,44.99,539.99,039854000010,8464,https://www.pricecharting.com/game/nes/adventure-island 
Adventure Island 3,64.99,134.99,549.99,039854000195,12176,https://www.pricecharting.com/game/nes/adventure-island-3 
