.hack GU Last Recode,10.99,11.99,16.99,722674121194,40438,https://www.pricecharting.com/game/playstation-4/hack-gu-last-recode 
1001 Spikes,114.99,134.99,804.99,,78458,https://www.pricecharting.com/game/playstation-4/1001-spikes 
13 Sentinels: Aegis Rim,19.99,24.99,29.99,730865220311,156285,https://www.pricecharting.com/game/playstation-4/13-sentinels-aegis-rim 
13 Sentinels: Aegis Rim Artbook Bundle,29.99,49.99,59.99,,156291,https://www.pricecharting.com/game/playstation-4/13-sentinels-aegis-rim-artbook-bundle 
1971 Project Helios,5.99,7.99,9.99,,416317,https://www.pricecharting.com/game/playstation-4/1971-project-helios 
2064: Read Only Memories,16.99,24.99,29.99,819976020307,42288,https://www.pricecharting.com/game/playstation-4/2064-read-only-memories 
25th Ward: Silver Case,16.99,34.99,34.99,810023030218,45136,https://www.pricecharting.com/game/playstation-4/25th-ward-silver-case 
25th Ward: Silver Case Limited Edition,44.99,49.99,64.99,810023030225,45137,https://www.pricecharting.com/game/playstation-4/25th-ward-silver-case-limited-edition 
3D Billiards & Snooker,9.99,11.99,15.99,814737020343,58125,https://www.pricecharting.com/game/playstation-4/3d-billiards-&-snooker 
3D Mini Golf,8.99,13.99,17.99,814737020350,58124,https://www.pricecharting.com/game/playstation-4/3d-mini-golf 
428 Shibuya Scramble,29.99,39.99,44.99,811800030049,53893,https://www.pricecharting.com/game/playstation-4/428-shibuya-scramble 
7 Days to Die,17.99,19.99,29.99,894515001801,36692,https://www.pricecharting.com/game/playstation-4/7-days-to-die 
8 to Glory,6.99,8.99,10.99,811994021786,52705,https://www.pricecharting.com/game/playstation-4/8-to-glory 
8-Bit Adventure Anthology,24.99,39.99,49.99,819976021526,54280,https://www.pricecharting.com/game/playstation-4/8-bit-adventure-anthology 
8-Bit Armies,7.99,8.99,10.99,852103006706,50753,https://www.pricecharting.com/game/playstation-4/8-bit-armies 
8-Bit Armies Limited Edition,15.99,19.99,29.99,852103006218,54478,https://www.pricecharting.com/game/playstation-4/8-bit-armies-limited-edition 
8-Bit Hordes,ND,ND,ND,852103006584,2772941,https://www.pricecharting.com/game/playstation-4/8-bit-hordes 
8-Bit Invaders,12.99,14.99,15.99,852103007000,70989,https://www.pricecharting.com/game/playstation-4/8-bit-invaders 
88 Heroes,9.99,11.99,15.99,887195000318,40297,https://www.pricecharting.com/game/playstation-4/88-heroes 
A Hat in Time,ND,ND,ND,812303012884,2931358,https://www.pricecharting.com/game/playstation-4/a-hat-in-time 
A Hole New World,24.99,24.99,34.99,819976022462,58380,https://www.pricecharting.com/game/playstation-4/a-hole-new-world 
A Plague Tale: Innocence,17.99,24.99,29.99,859529007294,58400,https://www.pricecharting.com/game/playstation-4/a-plague-tale-innocence 
A Way Out,29.99,34.99,34.99,014633739138014633373905,45686,https://www.pricecharting.com/game/playstation-4/a-way-out 
A-Train Exp,34.99,44.99,54.99,819976022639,62380,https://www.pricecharting.com/game/playstation-4/a-train-exp 
A-Train Express +,ND,ND,ND,,2254206,https://www.pricecharting.com/game/playstation-4/a-train-express-+ 
ADK Damashii,39.99,44.99,54.99,819976023421,68995,https://www.pricecharting.com/game/playstation-4/adk-damashii 
ADK Damashii Classic Edition,79.99,84.99,119.99,,91541,https://www.pricecharting.com/game/playstation-4/adk-damashii-classic-edition 
AI: The Somnium Files,54.99,64.99,94.99,811800030070811800030094,63948,https://www.pricecharting.com/game/playstation-4/ai-the-somnium-files 
AI: The Somnium Files Special Agent Edition,74.99,89.99,144.99,,64002,https://www.pricecharting.com/game/playstation-4/ai-the-somnium-files-special-agent-edition 
AO Tennis 2,15.99,17.99,24.99,,141589,https://www.pricecharting.com/game/playstation-4/ao-tennis-2 
ATV Drift & Tricks,8.99,9.99,15.99,850340008040,40447,https://www.pricecharting.com/game/playstation-4/atv-drift-&-tricks 
ATV Drift & Tricks Definitive Edition,10.99,11.99,16.99,850340008248,53765,https://www.pricecharting.com/game/playstation-4/atv-drift-&-tricks-definitive-edition 
ATV Renegades,9.99,11.99,19.99,865810000240,37416,https://www.pricecharting.com/game/playstation-4/atv-renegades 
AVICII Invector,5.99,7.99,10.99,810810030636,69365,https://www.pricecharting.com/game/playstation-4/avicii-invector 
Aaero,19.99,24.99,34.99,,50703,https://www.pricecharting.com/game/playstation-4/aaero 
Absolute Drift Zen Edition,15.99,15.99,29.99,819976020178,42296,https://www.pricecharting.com/game/playstation-4/absolute-drift-zen-edition 
Absolver,24.99,29.99,34.99,,42289,https://www.pricecharting.com/game/playstation-4/absolver 
Absolver Collector's Edition,64.99,74.99,84.99,,47014,https://www.pricecharting.com/game/playstation-4/absolver-collector%27s-edition 
Abzu,13.99,13.99,19.99,812872018881,37242,https://www.pricecharting.com/game/playstation-4/abzu 
Accounting +,19.99,24.99,29.99,819976022707,66864,https://www.pricecharting.com/game/playstation-4/accounting-+ 
Accounting + Tree Guy Edition,59.99,64.99,84.99,,65255,https://www.pricecharting.com/game/playstation-4/accounting-+-tree-guy-edition 
Accounting+ Best Buy Edition,24.99,29.99,34.99,,105337,https://www.pricecharting.com/game/playstation-4/accounting+-best-buy-edition 
Ace Combat 7 Skies Unknown,10.99,13.99,16.99,722674120845,53995,https://www.pricecharting.com/game/playstation-4/ace-combat-7-skies-unknown 
Ace of Seafood,19.99,19.99,29.99,819976020802,50697,https://www.pricecharting.com/game/playstation-4/ace-of-seafood 
