2006 FIFA World Cup,2.99,6.99,8.99,014633152166,8441,https://www.pricecharting.com/game/psp/2006-fifa-world-cup 
2010 FIFA World Cup,8.99,12.99,16.99,014633194104,21259,https://www.pricecharting.com/game/psp/2010-fifa-world-cup-south-africa 
2GB PSP Memory Stick Pro Duo,4.99,7.99,13.99,711719859307,31563,https://www.pricecharting.com/game/psp/2gb-psp-memory-stick-pro-duo 
300 March to Glory,3.99,6.99,11.99,788687400374,8443,https://www.pricecharting.com/game/psp/300-march-to-glory 
32MB PSP Memory Stick Pro Duo,6.99,6.99,11.99,711719852001,31566,https://www.pricecharting.com/game/psp/32mb-psp-memory-stick-pro-duo 
4GB PSP Memory Stick Pro Duo,10.99,13.99,24.99,711719858409,31565,https://www.pricecharting.com/game/psp/4gb-psp-memory-stick-pro-duo 
50 Cent Bulletproof G Unit Edition,24.99,29.99,49.99,020626724852,8448,https://www.pricecharting.com/game/psp/50-cent-bulletproof-g-unit-edition 
7 Wonders of the Ancient World,3.99,4.99,9.99,811930103408,8450,https://www.pricecharting.com/game/psp/7-wonders-of-the-ancient-world 
8GB PSP Memory Stick Pro Duo,11.99,14.99,29.99,,31564,https://www.pricecharting.com/game/psp/8gb-psp-memory-stick-pro-duo 
Ace Combat: Joint Assault,13.99,24.99,44.99,722674150361,21967,https://www.pricecharting.com/game/psp/ace-combat-joint-assault 
Ace Combat X Skies of Deception,8.99,13.99,29.99,722674150187,8452,https://www.pricecharting.com/game/psp/ace-combat-x-skies-of-deception 
Activision Hits Remixed,10.99,12.99,29.99,047875817296,8454,https://www.pricecharting.com/game/psp/activision-hits-remixed 
Adventures to Go,3.99,6.99,19.99,719593110064,19894,https://www.pricecharting.com/game/psp/adventures-to-go 
Aedis Eclipse Generation of Chaos,10.99,19.99,39.99,857823001208,8474,https://www.pricecharting.com/game/psp/aedis-eclipse-generation-of-chaos 
After Burner Black Falcon,9.99,15.99,34.99,010086660159,8483,https://www.pricecharting.com/game/psp/after-burner-black-falcon 
Air Conflicts,8.99,11.99,29.99,891563001074,8487,https://www.pricecharting.com/game/psp/air-conflicts 
Aliens vs. Predator Requiem,8.99,13.99,49.99,020626726740,10522,https://www.pricecharting.com/game/psp/aliens-vs-predator-requiem 
Alien Syndrome,3.99,11.99,15.99,010086660180,8498,https://www.pricecharting.com/game/psp/alien-syndrome 
Ape Escape Academy,4.99,7.99,12.99,711719861928,8514,https://www.pricecharting.com/game/psp/ape-escape-academy 
Ape Escape On the Loose,6.99,8.99,13.99,711719860921,8515,https://www.pricecharting.com/game/psp/ape-escape-on-the-loose 
Armored Core Formula Front,6.99,14.99,29.99,093992097301,8530,https://www.pricecharting.com/game/psp/armored-core-formula-front 
Army of Two: The 40th Day,9.99,12.99,19.99,014633155242,20350,https://www.pricecharting.com/game/psp/army-of-two-the-40th-day 
Assassins Creed: Bloodlines,8.99,11.99,24.99,008888335733,20035,https://www.pricecharting.com/game/psp/assassin%27s-creed-bloodlines 
Astonishia Story,7.99,19.99,19.99,008888332985,8537,https://www.pricecharting.com/game/psp/astonishia-story 
Astro Boy: The Video Game,4.99,9.99,19.99,879278110120,19790,https://www.pricecharting.com/game/psp/astro-boy-the-video-game 
Atari Classics Evolved,8.99,10.99,44.99,742725276000,8540,https://www.pricecharting.com/game/psp/atari-classics-evolved 
ATV Offroad Fury Blazing Trails,2.99,4.99,10.99,711719860327,8542,https://www.pricecharting.com/game/psp/atv-offroad-fury-blazing-trails 
ATV Offroad Fury Pro,3.99,4.99,19.99,711719864820,8543,https://www.pricecharting.com/game/psp/atv-offroad-fury-pro 
Avatar: The Game,4.99,6.99,13.99,008888335436,21551,https://www.pricecharting.com/game/psp/avatar-the-game 
Avatar The Last Airbender,7.99,8.99,19.99,752919480281,8545,https://www.pricecharting.com/game/psp/avatar-the-last-airbender 
Bakugan: Defenders of the Core,5.99,15.99,24.99,047875764965,30303,https://www.pricecharting.com/game/psp/bakugan-defenders-of-the-core 
BattleZone,7.99,8.99,19.99,742725271869,8589,https://www.pricecharting.com/game/psp/battlezone 
B-Boy,4.99,8.99,14.99,896992000568,14454,https://www.pricecharting.com/game/psp/b-boy 
Beaterator,4.99,9.99,12.99,710425371295,21681,https://www.pricecharting.com/game/psp/beaterator 
Ben 10 Alien Force,4.99,7.99,7.99,879278110083,15847,https://www.pricecharting.com/game/psp/ben-10-alien-force 
Ben 10: Alien Force: Vilgax Attacks,4.99,9.99,10.99,879278110113,19858,https://www.pricecharting.com/game/psp/ben-10-alien-force-vilgax-attacks 
Ben 10 Protector of Earth,6.99,9.99,15.99,879278110069879278115064,8596,https://www.pricecharting.com/game/psp/ben-10-protector-of-earth 
Ben 10: Ultimate Alien Cosmic Destruction,6.99,11.99,19.99,879278110151,22111,https://www.pricecharting.com/game/psp/ben-10-ultimate-alien-cosmic-destruction 
Beowulf,3.99,3.99,4.99,008888333791,8597,https://www.pricecharting.com/game/psp/beowulf 
Blade Dancer Lineage of Light,10.99,24.99,34.99,857823001031,8613,https://www.pricecharting.com/game/psp/blade-dancer-lineage-of-light 
BlazBlue: Calamity Trigger Portable,6.99,9.99,24.99,893610001303,21078,https://www.pricecharting.com/game/psp/blazblue-calamity-trigger-portable 
BlazBlue: Continuum Shift II,7.99,15.99,29.99,893610001488,31448,https://www.pricecharting.com/game/psp/blazblue-continuum-shift-ii 
Blazing Souls Accelate,9.99,24.99,29.99,893610001396,30310,https://www.pricecharting.com/game/psp/blazing-souls-accelate 
Blitz Overtime,9.99,19.99,34.99,031719269860,8623,https://www.pricecharting.com/game/psp/blitz-overtime 
Blokus Portable Steambot Championship,1.99,3.99,4.99,096427015024,12963,https://www.pricecharting.com/game/psp/blokus-portable-steambot-championship 
Blood Bowl,6.99,7.99,15.99,612561400511,31157,https://www.pricecharting.com/game/psp/blood-bowl 
Bomberman,9.99,12.99,29.99,083717260189,8631,https://www.pricecharting.com/game/psp/bomberman 
Bomberman Land,7.99,10.99,19.99,083717260387083717260448,14417,https://www.pricecharting.com/game/psp/bomberman-land 
