3 Ninjas Kick Back,4,0,,http://videogames.pricecharting.com/game/super-nintendo/3-ninjas-kick-back 
AAAHH Real Monsters,30,1,0,http://videogames.pricecharting.com/game/super-nintendo/aaahh-real-monsters 
ABC Monday Night Football,2,0,0,http://videogames.pricecharting.com/game/super-nintendo/abc-monday-night-football 
ACME Animation Factory,2,0,0,http://videogames.pricecharting.com/game/super-nintendo/acme-animation-factory 
ActRaiser,60,4,0,http://videogames.pricecharting.com/game/super-nintendo/actraiser 
ActRaiser 2,30,4,0,http://videogames.pricecharting.com/game/super-nintendo/actraiser-2 
Addams Family Pugsley's Scavenger Hunt,4,1,0,http://videogames.pricecharting.com/game/super-nintendo/addams-family-pugsley's-scavenger-hunt 
Addams Family Values,4,1,0,http://videogames.pricecharting.com/game/super-nintendo/addams-family-values 
Adventures of Batman and Robin,30,4,0,http://videogames.pricecharting.com/game/super-nintendo/adventures-of-batman-and-robin 
Adventures of Dr Franken,8,1,0,http://videogames.pricecharting.com/game/super-nintendo/adventures-of-dr-franken 
Adventures of Mighty Max,4,0,0,http://videogames.pricecharting.com/game/super-nintendo/adventures-of-mighty-max 
Adventures of Yogi Bear,4,0,0,http://videogames.pricecharting.com/game/super-nintendo/adventures-of-yogi-bear 
Aerobiz,4,1,0,http://videogames.pricecharting.com/game/super-nintendo/aerobiz 
Aerobiz Supersonic,4,1,0,http://videogames.pricecharting.com/game/super-nintendo/aerobiz-supersonic 
Aero Fighters,4,0,,http://videogames.pricecharting.com/game/super-nintendo/aero-fighters 
Aero the Acro-Bat,8,1,0,http://videogames.pricecharting.com/game/super-nintendo/aero-the-acro-bat 
Aero the Acro-Bat 2,4,0,0,http://videogames.pricecharting.com/game/super-nintendo/aero-the-acro-bat-2 
Air Cavalry,1,0,0,http://videogames.pricecharting.com/game/super-nintendo/air-cavalry 
Aladdin,150,8,1,http://videogames.pricecharting.com/game/super-nintendo/aladdin 
Alien 3,12,2,0,http://videogames.pricecharting.com/game/super-nintendo/alien-3 
Alien vs Predator,12,1,0,http://videogames.pricecharting.com/game/super-nintendo/alien-vs-predator 
Al Unser Jr.'s Road To The Top,1,0,0,http://videogames.pricecharting.com/game/super-nintendo/al-unser-jr's-road-to-the-top 
American Gladiators,4,1,0,http://videogames.pricecharting.com/game/super-nintendo/american-gladiators 
An American Tail Fievel Goes West,4,0,,http://videogames.pricecharting.com/game/super-nintendo/an-american-tail-fievel-goes-west 
Andre Agassi Tennis,1,0,0,http://videogames.pricecharting.com/game/super-nintendo/andre-agassi-tennis 
Animaniacs,12,4,0,http://videogames.pricecharting.com/game/super-nintendo/animaniacs 
Arcade's Greatest Hits Atari Collection 1,1,0,0,http://videogames.pricecharting.com/game/super-nintendo/arcade's-greatest-hits-atari-collection-1 
Arcana,4,4,0,http://videogames.pricecharting.com/game/super-nintendo/arcana 
Ardy Lightfoot,,,,http://videogames.pricecharting.com/game/super-nintendo/ardy-lightfoot 
Arkanoid Doh It Again,8,2,1,http://videogames.pricecharting.com/game/super-nintendo/arkanoid-doh-it-again 
Art of Fighting,8,1,0,http://videogames.pricecharting.com/game/super-nintendo/art-of-fighting 
A.S.P. Air Strike Patrol,4,0,,http://videogames.pricecharting.com/game/super-nintendo/asp-air-strike-patrol 
Axelay,12,1,0,http://videogames.pricecharting.com/game/super-nintendo/axelay 
Ballz 3D,4,0,0,http://videogames.pricecharting.com/game/super-nintendo/ballz-3d 
Barbie Super Model,4,1,0,http://videogames.pricecharting.com/game/super-nintendo/barbie-super-model 
Barkley: Shut Up and Jam!,1,0,0,http://videogames.pricecharting.com/game/super-nintendo/barkley-shut-up-and-jam 
Baseball Simulator 1.000,1,1,0,http://videogames.pricecharting.com/game/super-nintendo/baseball-simulator-1000 
Bassin's Black Bass,8,0,0,http://videogames.pricecharting.com/game/super-nintendo/bassin's-black-bass 
Bass Masters Classic,4,0,0,http://videogames.pricecharting.com/game/super-nintendo/bass-masters-classic 
Bass Masters Classic Pro Edition,4,0,0,http://videogames.pricecharting.com/game/super-nintendo/bass-masters-classic-pro-edition 
Batman Forever,30,4,1,http://videogames.pricecharting.com/game/super-nintendo/batman-forever 
Batman Returns,60,4,0,http://videogames.pricecharting.com/game/super-nintendo/batman-returns 
Battle Blaze,4,1,,http://videogames.pricecharting.com/game/super-nintendo/battle-blaze 
Battle Cars,4,0,0,http://videogames.pricecharting.com/game/super-nintendo/battle-cars 
