3 Ninjas Kick Back / Hook,44.99,99.99,179.99,735009223906,14684,http://videogames.pricecharting.com/game/sega-cd/3-ninjas-kick-back-hook 
Adventures of Batman and Robin,49.99,59.99,139.99,010086044324,13092,http://videogames.pricecharting.com/game/sega-cd/adventures-of-batman-and-robin 
Adventures of Willy Beamish,10.99,49.99,64.99,020626436083,12990,http://videogames.pricecharting.com/game/sega-cd/adventures-of-willy-beamish 
After Burner III,17.99,44.99,99.99,010086044157,14686,http://videogames.pricecharting.com/game/sega-cd/after-burner-iii 
AH-3 Thunderstrike,10.99,19.99,24.99,009119930574,12560,http://videogames.pricecharting.com/game/sega-cd/ah-3-thunderstrike 
Android Assault,99.99,149.99,439.99,010086044454,13960,http://videogames.pricecharting.com/game/sega-cd/android-assault 
Animals,10.99,13.99,39.99,050047114871,14687,http://videogames.pricecharting.com/game/sega-cd/animals 
A/X-101,34.99,114.99,209.99,018706623942,14685,http://videogames.pricecharting.com/game/sega-cd/ax-101 
Batman Returns,34.99,94.99,184.99,010086044010,14688,http://videogames.pricecharting.com/game/sega-cd/batman-returns 
Battlecorps,29.99,49.99,89.99,031763093800,14690,http://videogames.pricecharting.com/game/sega-cd/battlecorps 
Battle Frenzy,ND,ND,ND,,,http://videogames.pricecharting.com/game/sega-cd/battle-frenzy 
BC Racers,54.99,109.99,199.99,031763080800,14691,http://videogames.pricecharting.com/game/sega-cd/bc-racers 
Bill Walsh College Football,2.99,7.99,15.99,014633072815,14692,http://videogames.pricecharting.com/game/sega-cd/bill-walsh-college-football 
Black Hole Assault,11.99,59.99,79.99,027479064005,14693,http://videogames.pricecharting.com/game/sega-cd/black-hole-assault 
Bouncers,11.99,29.99,69.99,010086049084,14694,http://videogames.pricecharting.com/game/sega-cd/bouncers 
Bram Stokers Dracula,7.99,14.99,34.99,090451601062,13958,http://videogames.pricecharting.com/game/sega-cd/bram-stoker%27s-dracula 
Brutal Paws of Fury,13.99,24.99,34.99,043948003139,14695,http://videogames.pricecharting.com/game/sega-cd/brutal-paws-of-fury 
