1-2 Switch,24.99,29.99,39.99,045496590444,37292,https://www.pricecharting.com/game/nintendo-switch/1-2-switch 
1971 Project Helios,9.99,10.99,14.99,850017102170,162090,https://www.pricecharting.com/game/nintendo-switch/1971-project-helios 
2064: Read Only Memories,34.99,49.99,69.99,819976023384,70611,https://www.pricecharting.com/game/nintendo-switch/2064-read-only-memories 
2064: Read Only Memories Collector's Edition,94.99,119.99,144.99,,70612,https://www.pricecharting.com/game/nintendo-switch/2064-read-only-memories-collector%27s-edition 
30-in-1 Game Collection,ND,ND,ND,819335021303,1891846,https://www.pricecharting.com/game/nintendo-switch/30-in-1-game-collection 
88 Heroes,13.99,13.99,24.99,887195000424,40298,https://www.pricecharting.com/game/nintendo-switch/88-heroes 
8Bitdo M30 Gamepad Bluetooth,ND,ND,ND,,2998110,https://www.pricecharting.com/game/nintendo-switch/8bitdo-m30-gamepad-bluetooth 
8Bitdo Pro 2 Black,ND,ND,ND,,2998112,https://www.pricecharting.com/game/nintendo-switch/8bitdo-pro-2-black 
8Bitdo Pro 2 Gray,ND,ND,ND,,2998113,https://www.pricecharting.com/game/nintendo-switch/8bitdo-pro-2-gray 
8Bitdo Pro 2 Red,ND,ND,ND,,2998114,https://www.pricecharting.com/game/nintendo-switch/8bitdo-pro-2-red 
A Hat in Time,16.99,19.99,24.99,812303012907,65581,https://www.pricecharting.com/game/nintendo-switch/a-hat-in-time 
A Hole New World,34.99,39.99,59.99,,69004,https://www.pricecharting.com/game/nintendo-switch/a-hole-new-world 
A Hole New World Collector's Edition,64.99,74.99,74.99,,1297355,https://www.pricecharting.com/game/nintendo-switch/a-hole-new-world-collector%27s-edition 
A Robot Named Fight,ND,ND,ND,,2632073,https://www.pricecharting.com/game/nintendo-switch/a-robot-named-fight 
A Robot Named Fight Deluxe Edition,ND,ND,ND,,2754934,https://www.pricecharting.com/game/nintendo-switch/a-robot-named-fight-deluxe-edition 
A Robot Named Fight Retro Edition,ND,ND,ND,,2754933,https://www.pricecharting.com/game/nintendo-switch/a-robot-named-fight-retro-edition 
AC Power Adapter,39.99,49.99,64.99,045496590222,230972,https://www.pricecharting.com/game/nintendo-switch/ac-power-adapter 
AI: The Somnium Files,44.99,64.99,89.99,811800030100,65151,https://www.pricecharting.com/game/nintendo-switch/ai-the-somnium-files 
AI: The Somnium Files Special Agent Edition,114.99,124.99,189.99,811800030087,63954,https://www.pricecharting.com/game/nintendo-switch/ai-the-somnium-files-special-agent-edition 
AO Tennis 2,15.99,16.99,24.99,814290015596,156148,https://www.pricecharting.com/game/nintendo-switch/ao-tennis-2 
ARMS,34.99,34.99,49.99,045496590529045496590536,37760,https://www.pricecharting.com/game/nintendo-switch/arms 
ATV Drift & Tricks,12.99,13.99,16.99,850340008231,58235,https://www.pricecharting.com/game/nintendo-switch/atv-drift-&-tricks 
AVICII Invector,19.99,24.99,24.99,810810030629,69367,https://www.pricecharting.com/game/nintendo-switch/avicii-invector 
Ace Angler,34.99,34.99,54.99,,1200090,https://www.pricecharting.com/game/nintendo-switch/ace-angler 
Aces of The Luftwaffe Squadron,12.99,15.99,19.99,811994021892,54998,https://www.pricecharting.com/game/nintendo-switch/aces-of-the-luftwaffe-squadron 
Active Life Outdoor Challenge,ND,ND,ND,,2515604,https://www.pricecharting.com/game/nintendo-switch/active-life-outdoor-challenge 
Adam's Venture: Origins,19.99,24.99,34.99,850011116005,156571,https://www.pricecharting.com/game/nintendo-switch/adam%27s-venture-origins 
Adjustable Charging Stand,11.99,12.99,16.99,045496430849,148078,https://www.pricecharting.com/game/nintendo-switch/adjustable-charging-stand 
Adventure Time: Pirates of the Enchiridion,12.99,13.99,19.99,819338020068,47068,https://www.pricecharting.com/game/nintendo-switch/adventure-time-pirates-of-the-enchiridion 
Aegis Defenders,29.99,29.99,34.99,819976022561,63145,https://www.pricecharting.com/game/nintendo-switch/aegis-defenders 
Aegis Defenders Best Buy Cover,ND,ND,ND,,,https://www.pricecharting.com/game/nintendo-switch/aegis-defenders-best-buy-cover 
AeternoBlade II,13.99,14.99,24.99,,67372,https://www.pricecharting.com/game/nintendo-switch/aeternoblade-ii 
Afterparty,ND,ND,ND,819976025159,2172697,https://www.pricecharting.com/game/nintendo-switch/afterparty 
Agatha Christie: Hercule Poirot - The First Cases,ND,ND,ND,850024479128,2515653,https://www.pricecharting.com/game/nintendo-switch/agatha-christie-hercule-poirot-the-first-cases 
Agatha Christie: The ABC Murders,11.99,12.99,19.99,850340008934,200131,https://www.pricecharting.com/game/nintendo-switch/agatha-christie-the-abc-murders 
