007 Legends,8.99,19.99,19.99,047875844704,33629,https://www.pricecharting.com/game/wii-u/007-legends 
Adventure Time: Explore the Dungeon Because I Don't Know,6.99,11.99,24.99,879278005112,34585,https://www.pricecharting.com/game/wii-u/adventure-time-explore-the-dungeon-because-i-don%27t-know 
Adventure Time: Finn and Jake Investigations,3.99,6.99,7.99,815403010682,36131,https://www.pricecharting.com/game/wii-u/adventure-time-finn-and-jake-investigations 
Amazing Spiderman,19.99,29.99,79.99,047875846371,33888,https://www.pricecharting.com/game/wii-u/amazing-spiderman 
Amazing Spiderman 2,13.99,19.99,29.99,047875849426,34838,https://www.pricecharting.com/game/wii-u/amazing-spiderman-2 
Angry Birds Star Wars,3.99,5.99,11.99,047875767881,34469,https://www.pricecharting.com/game/wii-u/angry-birds-star-wars 
Angry Birds Trilogy,14.99,19.99,34.99,047875767461,34159,https://www.pricecharting.com/game/wii-u/angry-birds-trilogy 
Animal Crossing Amiibo Festival,3.99,8.99,10.99,045496903879,36266,https://www.pricecharting.com/game/wii-u/animal-crossing-amiibo-festival 
Animal Crossing Amiibo Festival [amiibo Bundle],3.99,4.99,8.99,045496903817,45081,https://www.pricecharting.com/game/wii-u/animal-crossing-amiibo-festival-%5bamiibo-bundle%5d 
Assassin's Creed III,3.99,3.99,8.99,008888187233008888187370,33310,https://www.pricecharting.com/game/wii-u/assassin%27s-creed-iii 
Assassin's Creed IV: Black Flag,6.99,9.99,29.99,008888188117,34473,https://www.pricecharting.com/game/wii-u/assassin%27s-creed-iv-black-flag 
Barbie and Her Sisters: Puppy Rescue,7.99,9.99,18.99,815403010835,36214,https://www.pricecharting.com/game/wii-u/barbie-and-her-sisters-puppy-rescue 
Barbie: Dreamhouse Party,13.99,19.99,29.99,815403010286,34591,https://www.pricecharting.com/game/wii-u/barbie-dreamhouse-party 
Batman: Arkham City Armored Edition,7.99,10.99,29.99,883929255122883929254736,33312,https://www.pricecharting.com/game/wii-u/batman-arkham-city-armored-edition 
Batman: Arkham Origins,6.99,11.99,29.99,883929319640883929326730,34460,https://www.pricecharting.com/game/wii-u/batman-arkham-origins 
Bayonetta 2,12.99,29.99,54.99,045496903466,35450,https://www.pricecharting.com/game/wii-u/bayonetta-2 
Bayonetta 2 (Single Disc),12.99,18.99,29.99,045496904210,36933,https://www.pricecharting.com/game/wii-u/bayonetta-2-%28single-disc%29 
Ben 10: Omniverse,7.99,10.99,19.99,879278350007,33634,https://www.pricecharting.com/game/wii-u/ben-10-omniverse 
Ben 10: Omniverse 2,13.99,24.99,39.99,879278005129,34506,https://www.pricecharting.com/game/wii-u/ben-10-omniverse-2 
Brunswick Pro Bowling,6.99,6.99,11.99,862001000058,37481,https://www.pricecharting.com/game/wii-u/brunswick-pro-bowling 
Cabela's Big Game Hunter: Pro Hunts,44.99,74.99,119.99,047875770096,34758,https://www.pricecharting.com/game/wii-u/cabela%27s-big-game-hunter-pro-hunts 
Cabela's Dangerous Hunts 2013,6.99,11.99,19.99,047875769618047875769625,33570,https://www.pricecharting.com/game/wii-u/cabela%27s-dangerous-hunts-2013 
Call of Duty Black Ops II,14.99,19.99,39.99,047875843875047875843882,33398,https://www.pricecharting.com/game/wii-u/call-of-duty-black-ops-ii 
Call of Duty Ghosts,10.99,11.99,19.99,047875846852047875846869,34509,https://www.pricecharting.com/game/wii-u/call-of-duty-ghosts 
Captain Toad: Treasure Tracker,7.99,9.99,24.99,045496903459,35398,https://www.pricecharting.com/game/wii-u/captain-toad-treasure-tracker 
Captain Toad: Treasure Tracker [amiibo Bundle],10.99,19.99,44.99,045496904371,37771,https://www.pricecharting.com/game/wii-u/captain-toad-treasure-tracker-%5bamiibo-bundle%5d 
