187 Ride or Die,3.99,6.99,18.99,008888512172,11015,https://www.pricecharting.com/game/xbox/187-ride-or-die 
25 to Life,3.99,10.99,19.99,788687200240,6045,https://www.pricecharting.com/game/xbox/25-to-life 
4x4 EVO 2,3.99,5.99,24.99,710425290916,6046,https://www.pricecharting.com/game/xbox/4x4-evo-2 
50 Cent Bulletproof,4.99,8.99,24.99,020626723817,6047,https://www.pricecharting.com/game/xbox/50-cent-bulletproof 
Action Replay,14.99,34.99,59.99,,6048,https://www.pricecharting.com/game/xbox/action-replay 
Advent Rising,2.99,6.99,18.99,096427012894,6049,https://www.pricecharting.com/game/xbox/advent-rising 
Aeon Flux,1.99,4.99,11.99,096427014140,11331,https://www.pricecharting.com/game/xbox/aeon-flux 
Agent Under Fire,2.99,4.99,14.99,014633144857,6050,https://www.pricecharting.com/game/xbox/007-agent-under-fire 
Aggressive Inline,3.99,7.99,19.99,021481402930,6051,https://www.pricecharting.com/game/xbox/aggressive-inline 
Airforce Delta Storm,2.99,4.99,12.99,083717300021,6052,https://www.pricecharting.com/game/xbox/airforce-delta-storm 
Alias,2.99,4.99,13.99,021481402329,6053,https://www.pricecharting.com/game/xbox/alias 
Aliens vs. Predator Extinction,24.99,24.99,59.99,014633145960,11851,https://www.pricecharting.com/game/xbox/aliens-vs-predator-extinction 
All-Star Baseball 2003,1.99,2.99,6.99,021481402817,6055,https://www.pricecharting.com/game/xbox/all-star-baseball-2003 
All-Star Baseball 2004,1.99,2.99,7.99,021481403128,6056,https://www.pricecharting.com/game/xbox/all-star-baseball-2004 
All-Star Baseball 2005,2.99,3.99,19.99,021481403395,6057,https://www.pricecharting.com/game/xbox/all-star-baseball-2005 
Alter Echo,3.99,6.99,9.99,752919520093,10750,https://www.pricecharting.com/game/xbox/alter-echo 
American Chopper,1.99,3.99,8.99,047875750517,6058,https://www.pricecharting.com/game/xbox/american-chopper 
American Chopper 2 Full Throttle,2.99,2.99,7.99,047875751354,6059,https://www.pricecharting.com/game/xbox/american-chopper-2-full-throttle 
American McGee Presents Scrapland,7.99,13.99,29.99,646662101251,11382,https://www.pricecharting.com/game/xbox/american-mcgee-presents-scrapland 
Americas Army Rise of a Soldier,1.99,3.99,6.99,008888511755,6060,https://www.pricecharting.com/game/xbox/america%27s-army-rise-of-a-soldier 
AMF Bowling 2004,1.99,2.99,4.99,093155123106,6061,https://www.pricecharting.com/game/xbox/amf-bowling-2004 
AMF Xtreme Bowling,3.99,13.99,34.99,093155125308,10583,https://www.pricecharting.com/game/xbox/amf-xtreme-bowling 
Amped Snowboarding,2.99,2.99,19.99,659556745042,6062,https://www.pricecharting.com/game/xbox/amped-snowboarding 
Amped Snowboarding 2,2.99,4.99,15.99,805529423312,6063,https://www.pricecharting.com/game/xbox/amped-2 
And 1 Streetball,4.99,6.99,18.99,008888512844,11018,https://www.pricecharting.com/game/xbox/and-1-streetball 
Antz Extreme Racing,3.99,4.99,12.99,020626715874,6064,https://www.pricecharting.com/game/xbox/antz-extreme-racing 
Apex,2.99,11.99,19.99,742725243972,6065,https://www.pricecharting.com/game/xbox/apex 
Aquaman Battle for Atlantis,3.99,6.99,18.99,739069640055,11558,https://www.pricecharting.com/game/xbox/aquaman-battle-for-atlantis 
Arctic Thunder,3.99,8.99,34.99,031719300020,6066,https://www.pricecharting.com/game/xbox/arctic-thunder 
Area 51,4.99,9.99,29.99,031719300150,6067,https://www.pricecharting.com/game/xbox/area-51 
Arena Football,2.99,4.99,14.99,014633151411,6068,https://www.pricecharting.com/game/xbox/arena-football 
Armed and Dangerous,4.99,9.99,34.99,023272403751,6069,https://www.pricecharting.com/game/xbox/armed-and-dangerous 
Army Men Major Malfunction,3.99,7.99,19.99,710425297397,11468,https://www.pricecharting.com/game/xbox/army-men-major-malfunction 
Army Men Sarge's War,3.99,6.99,19.99,710425294327,6070,https://www.pricecharting.com/game/xbox/army-men-sarge's-war 
Arx Fatalis,29.99,39.99,104.99,625904395153,11378,https://www.pricecharting.com/game/xbox/arx-fatalis 
Atari Anthology,4.99,7.99,9.99,742725260849,6071,https://www.pricecharting.com/game/xbox/atari-anthology 
ATV Quad Power Racing 2,2.99,5.99,34.99,021481403029,6072,https://www.pricecharting.com/game/xbox/atv-quad-power-racing-2 
Auto Modellista,29.99,39.99,49.99,013388290093,6073,https://www.pricecharting.com/game/xbox/auto-modellista 
Avatar the Last Airbender,6.99,7.99,19.99,752919520581,6074,https://www.pricecharting.com/game/xbox/avatar-the-last-airbender 
Azurik Rise of Perathia,2.99,6.99,24.99,659556745066,6075,https://www.pricecharting.com/game/xbox/azurik-rise-of-perathia 
Backyard Wrestling,3.99,6.99,17.99,788687200028,6076,https://www.pricecharting.com/game/xbox/backyard-wrestling 
Backyard Wrestling 2,4.99,10.99,19.99,788687200219,11680,https://www.pricecharting.com/game/xbox/backyard-wrestling-2 
Bad Boys Miami Takedown,3.99,4.99,15.99,650008499131,6077,https://www.pricecharting.com/game/xbox/bad-boys-miami-takedown 
Baldur's Gate Dark Alliance,7.99,13.99,59.99,020626718585,6078,https://www.pricecharting.com/game/xbox/baldur's-gate-dark-alliance 
Baldur's Gate Dark Alliance 2,15.99,19.99,54.99,020626720205,6079,https://www.pricecharting.com/game/xbox/baldur's-gate-dark-alliance-2 
Barbie Horse Adventures Wild Horse Rescue,11.99,19.99,64.99,020626720960,11098,https://www.pricecharting.com/game/xbox/barbie-horse-adventures-wild-horse-rescue 
Bard's Tale,2.99,6.99,14.99,020626721608,10600,https://www.pricecharting.com/game/xbox/bard's-tale 
Bass Pro Shops Trophy Bass 2007,3.99,6.99,6.99,020626723466,21996,https://www.pricecharting.com/game/xbox/bass-pro-shops-trophy-bass-2007 
Bass Pro Shops Trophy Hunter 2007,2.99,3.99,11.99,020626723497,11105,https://www.pricecharting.com/game/xbox/bass-pro-shops-trophy-hunter-2007 
Batman Begins,2.99,7.99,44.99,014633149074,6080,https://www.pricecharting.com/game/xbox/batman-begins 
Batman Dark Tomorrow,6.99,13.99,44.99,741648007029,6081,https://www.pricecharting.com/game/xbox/batman-dark-tomorrow 
Batman Rise of Sin Tzu,6.99,11.99,69.99,008888511496,6082,https://www.pricecharting.com/game/xbox/batman-rise-of-sin-tzu 
Batman Vengeance,7.99,10.99,59.99,008888510024,6083,https://www.pricecharting.com/game/xbox/batman-vengeance 
Battle Engine Aquila,7.99,12.99,29.99,742725240254,11578,https://www.pricecharting.com/game/xbox/battle-engine-aquila 
Battlefield 2 Modern Combat,1.99,3.99,24.99,014633148589014633353785,6084,https://www.pricecharting.com/game/xbox/battlefield-2-modern-combat 
Battlestar Galactica,4.99,8.99,24.99,020626718967,11092,https://www.pricecharting.com/game/xbox/battlestar-galactica 
Beat Down Fists of Vengeance,5.99,11.99,19.99,013388290161,6085,https://www.pricecharting.com/game/xbox/beat-down-fists-of-vengeance 
Beyond Good and Evil,8.99,19.99,39.99,008888511120,6086,https://www.pricecharting.com/game/xbox/beyond-good-and-evil 
Bicycle Casino,1.99,2.99,6.99,047875750494047875751613,6087,https://www.pricecharting.com/game/xbox/bicycle-casino 
Big Mutha Truckers,2.99,6.99,19.99,752919520208,6088,https://www.pricecharting.com/game/xbox/big-mutha-truckers 
Big Mutha Truckers 2,2.99,4.99,10.99,752919520512,6089,https://www.pricecharting.com/game/xbox/big-mutha-truckers-2 
Bionicle,4.99,7.99,19.99,014633146813,14052,https://www.pricecharting.com/game/xbox/bionicle 
Black,6.99,6.99,29.99,014633151046,6091,https://www.pricecharting.com/game/xbox/black 
Black Controller,ND,ND,ND,,,https://www.pricecharting.com/game/xbox/black-controller 
Blackstone Magic and Steel,9.99,24.99,44.99,651222025069,11411,https://www.pricecharting.com/game/xbox/blackstone-magic-and-steel 
Black S Type Controller,14.99,24.99,64.99,805529378889,6093,https://www.pricecharting.com/game/xbox/black-s-type-controller 
Blade 2 II,ND,ND,ND,,,https://www.pricecharting.com/game/xbox/blade-2-ii 
Blazing Angels Squadrons of WWII,3.99,4.99,24.99,008888512622,11016,https://www.pricecharting.com/game/xbox/blazing-angels-squadrons-of-wwii 
Blinx 2,17.99,24.99,39.99,805529944404,6095,https://www.pricecharting.com/game/xbox/blinx-2 
Blinx Time Sweeper,4.99,10.99,39.99,805529108516,6096,https://www.pricecharting.com/game/xbox/blinx-time-sweeper 
Blitz the League,3.99,4.99,12.99,031719300389,6097,https://www.pricecharting.com/game/xbox/blitz-the-league 
Blood Omen 2,4.99,8.99,24.99,788687200080,6098,https://www.pricecharting.com/game/xbox/blood-omen-2 
Bloodrayne,6.99,10.99,39.99,096427012917,6100,https://www.pricecharting.com/game/xbox/bloodrayne 
Bloodrayne 2,7.99,13.99,39.99,096427013334,6101,https://www.pricecharting.com/game/xbox/bloodrayne-2 
Blood Wake,2.99,4.99,24.99,659556745080,6099,https://www.pricecharting.com/game/xbox/blood-wake 
Bloody Roar Extreme,34.99,64.99,124.99,083717300229,11268,https://www.pricecharting.com/game/xbox/bloody-roar-extreme 
Blowout,3.99,4.99,10.99,096427013020,11320,https://www.pricecharting.com/game/xbox/blowout 
Blue S Type Controller,17.99,19.99,54.99,805529402560,6102,https://www.pricecharting.com/game/xbox/blue-s-type-controller 
BMX XXX,8.99,13.99,64.99,021481402947,6103,https://www.pricecharting.com/game/xbox/bmx-xxx 
Breakdown,7.99,12.99,29.99,722674200028,11519,https://www.pricecharting.com/game/xbox/breakdown 
Breeders' Cup World Thoroughbred Championships,1.99,4.99,11.99,093155119703,11309,https://www.pricecharting.com/game/xbox/breeders'-cup-world-thoroughbred-championships 
Broken Sword The Sleeping Dragon,2.99,6.99,12.99,625904396150,6104,https://www.pricecharting.com/game/xbox/broken-sword-the-sleeping-dragon 
Brothers in Arms Earned in Blood,1.99,5.99,14.99,008888512615,6106,https://www.pricecharting.com/game/xbox/brothers-in-arms-earned-in-blood 
Brothers in Arms Road to Hill 30,1.99,4.99,11.99,008888512066,6107,https://www.pricecharting.com/game/xbox/brothers-in-arms-road-to-hill-30 
Bruce Lee Quest of the Dragon,4.99,7.99,29.99,020626716031,6108,https://www.pricecharting.com/game/xbox/bruce-lee-quest-of-the-dragon 
Brute Force,2.99,4.99,19.99,805529108523,6109,https://www.pricecharting.com/game/xbox/brute-force 
Buffy the Vampire Slayer,12.99,19.99,74.99,014633143959,6110,https://www.pricecharting.com/game/xbox/buffy-the-vampire-slayer 
Buffy the Vampire Slayer Chaos Bleeds,12.99,19.99,59.99,020626721066,6111,https://www.pricecharting.com/game/xbox/buffy-the-vampire-slayer-chaos-bleeds 
Burnout,3.99,6.99,19.99,021481402909,6112,https://www.pricecharting.com/game/xbox/burnout 
Burnout 2 Point of Impact,6.99,9.99,69.99,021481403142,6113,https://www.pricecharting.com/game/xbox/burnout-2-point-of-impact 
Burnout 3 Take Down,6.99,9.99,64.99,014633148343,6114,https://www.pricecharting.com/game/xbox/burnout-3-takedown 
Burnout Revenge,3.99,5.99,19.99,014633151022,6115,https://www.pricecharting.com/game/xbox/burnout-revenge 
