187 Ride or Die,1,1,1,http://videogames.pricecharting.com/game/xbox/187-ride-or-die 
25 to Life,2,2,0,http://videogames.pricecharting.com/game/xbox/25-to-life 
4x4 EVO 2,4,4,0,http://videogames.pricecharting.com/game/xbox/4x4-evo-2 
50 Cent Bulletproof,4,4,1,http://videogames.pricecharting.com/game/xbox/50-cent-bulletproof 
Action Replay,1,,,http://videogames.pricecharting.com/game/xbox/action-replay 
Advent Rising,4,4,1,http://videogames.pricecharting.com/game/xbox/advent-rising 
Aeon Flux,1,1,1,http://videogames.pricecharting.com/game/xbox/aeon-flux 
Agent Under Fire,,,,http://videogames.pricecharting.com/game/xbox/agent-under-fire 
Aggressive Inline,1,2,0,http://videogames.pricecharting.com/game/xbox/aggressive-inline 
Airforce Delta Storm,2,4,0,http://videogames.pricecharting.com/game/xbox/airforce-delta-storm 
Alias,1,1,1,http://videogames.pricecharting.com/game/xbox/alias 
Aliens vs. Predator Extinction,4,8,0,http://videogames.pricecharting.com/game/xbox/aliens-vs-predator-extinction 
All-Star Baseball 2003,1,0,0,http://videogames.pricecharting.com/game/xbox/all-star-baseball-2003 
All-Star Baseball 2004,1,0,0,http://videogames.pricecharting.com/game/xbox/all-star-baseball-2004 
All-Star Baseball 2005,2,1,0,http://videogames.pricecharting.com/game/xbox/all-star-baseball-2005 
Alter Echo,1,1,0,http://videogames.pricecharting.com/game/xbox/alter-echo 
American Chopper,1,1,0,http://videogames.pricecharting.com/game/xbox/american-chopper 
American Chopper 2 Full Throttle,1,0,0,http://videogames.pricecharting.com/game/xbox/american-chopper-2-full-throttle 
American McGee Presents Scrapland,2,1,0,http://videogames.pricecharting.com/game/xbox/american-mcgee-presents-scrapland 
Americas Army Rise of a Soldier,1,1,1,http://videogames.pricecharting.com/game/xbox/americas-army-rise-of-a-soldier 
AMF Bowling 2004,1,1,0,http://videogames.pricecharting.com/game/xbox/amf-bowling-2004 
AMF Xtreme Bowling,1,0,0,http://videogames.pricecharting.com/game/xbox/amf-xtreme-bowling 
Amped Snowboarding,4,4,1,http://videogames.pricecharting.com/game/xbox/amped-snowboarding 
Amped Snowboarding 2,,,,http://videogames.pricecharting.com/game/xbox/amped-snowboarding-2 
And 1 Streetball,1,1,0,http://videogames.pricecharting.com/game/xbox/and-1-streetball 
Antz Extreme Racing,0,0,0,http://videogames.pricecharting.com/game/xbox/antz-extreme-racing 
Apex,1,1,0,http://videogames.pricecharting.com/game/xbox/apex 
Aquaman Battle for Atlantis,1,1,1,http://videogames.pricecharting.com/game/xbox/aquaman-battle-for-atlantis 
Arctic Thunder,2,2,0,http://videogames.pricecharting.com/game/xbox/arctic-thunder 
Area 51,4,8,0,http://videogames.pricecharting.com/game/xbox/area-51 
Arena Football,2,2,1,http://videogames.pricecharting.com/game/xbox/arena-football 
Armed and Dangerous,4,4,1,http://videogames.pricecharting.com/game/xbox/armed-and-dangerous 
Army Men Major Malfunction,1,1,0,http://videogames.pricecharting.com/game/xbox/army-men-major-malfunction 
Army Men Sarge's War,2,4,1,http://videogames.pricecharting.com/game/xbox/army-men-sarge's-war 
Arx Fatalis,4,8,0,http://videogames.pricecharting.com/game/xbox/arx-fatalis 
Atari Anthology,4,4,1,http://videogames.pricecharting.com/game/xbox/atari-anthology 
ATV Quad Power Racing 2,4,4,0,http://videogames.pricecharting.com/game/xbox/atv-quad-power-racing-2 
Auto Modellista,1,1,0,http://videogames.pricecharting.com/game/xbox/auto-modellista 
Avatar the Last Airbender,2,2,0,http://videogames.pricecharting.com/game/xbox/avatar-the-last-airbender 
Azurik Rise of Perathia,4,4,1,http://videogames.pricecharting.com/game/xbox/azurik-rise-of-perathia 
Backyard Wrestling,1,1,0,http://videogames.pricecharting.com/game/xbox/backyard-wrestling 
Backyard Wrestling 2,1,1,1,http://videogames.pricecharting.com/game/xbox/backyard-wrestling-2 
Bad Boys Miami Takedown,1,1,0,http://videogames.pricecharting.com/game/xbox/bad-boys-miami-takedown 
Baldur's Gate Dark Alliance,4,30,1,http://videogames.pricecharting.com/game/xbox/baldur's-gate-dark-alliance 
Baldur's Gate Dark Alliance 2,4,30,0,http://videogames.pricecharting.com/game/xbox/baldur's-gate-dark-alliance-2 
Barbie Horse Adventures Wild Horse Rescue,4,4,0,http://videogames.pricecharting.com/game/xbox/barbie-horse-adventures-wild-horse-rescue 
Bard's Tale,4,4,1,http://videogames.pricecharting.com/game/xbox/bard's-tale 
Bass Pro Shops Trophy Bass 2007,0,0,0,http://videogames.pricecharting.com/game/xbox/bass-pro-shops-trophy-bass-2007 
Bass Pro Shops Trophy Hunter 2007,4,4,,http://videogames.pricecharting.com/game/xbox/bass-pro-shops-trophy-hunter-2007 
Batman Begins,4,12,1,http://videogames.pricecharting.com/game/xbox/batman-begins 
Batman Dark Tomorrow,2,2,0,http://videogames.pricecharting.com/game/xbox/batman-dark-tomorrow 
Batman Rise of Sin Tzu,1,1,0,http://videogames.pricecharting.com/game/xbox/batman-rise-of-sin-tzu 
Batman Vengeance,2,4,0,http://videogames.pricecharting.com/game/xbox/batman-vengeance 
Battle Engine Aquila,1,1,0,http://videogames.pricecharting.com/game/xbox/battle-engine-aquila 
Battlefield 2 Modern Combat,2,4,1,http://videogames.pricecharting.com/game/xbox/battlefield-2-modern-combat 
Battlestar Galactica,4,4,0,http://videogames.pricecharting.com/game/xbox/battlestar-galactica 
Beat Down Fists of Vengeance,1,1,1,http://videogames.pricecharting.com/game/xbox/beat-down-fists-of-vengeance 
Beyond Good and Evil,1,12,1,http://videogames.pricecharting.com/game/xbox/beyond-good-and-evil 
Bicycle Casino,1,1,0,http://videogames.pricecharting.com/game/xbox/bicycle-casino 
Big Mutha Truckers,1,4,0,http://videogames.pricecharting.com/game/xbox/big-mutha-truckers 
Big Mutha Truckers 2,1,2,1,http://videogames.pricecharting.com/game/xbox/big-mutha-truckers-2 
Bionicle,1,1,0,http://videogames.pricecharting.com/game/xbox/bionicle 
